image_id;variant_id;product_id;sort_order;path
KD-PD-11514__v001__img1;KD-PD-11514__v001;KD-PD-11514;1;/assets/images/6a85be4b7c47d_big.jpg
KD-PD-11428__v001__img1;KD-PD-11428__v001;KD-PD-11428;1;/assets/images/6a85bf69a9fab_big.jpg
KD-PD-11430__v001__img1;KD-PD-11430__v001;KD-PD-11430;1;/assets/images/6a85b5ce5156c_big.jpg
KD-PD-11420__v001__img1;KD-PD-11420__v001;KD-PD-11420;1;/assets/images/6a85b4e761a4c_big.jpg
KD-PD-11438__v001__img1;KD-PD-11438__v001;KD-PD-11438;1;/assets/images/6a85bf6840c27_big.jpg
KD-PD-11438__v002__img1;KD-PD-11438__v002;KD-PD-11438;1;/assets/images/6a85bf6840c27_big.jpg
KD-PD-11438A__v001__img1;KD-PD-11438A__v001;KD-PD-11438A;1;/assets/images/6a85bf55372ef_big.jpg
KD-PD-114381__v001__img1;KD-PD-114381__v001;KD-PD-114381;1;/assets/images/6a85b7d65b6f3_big.jpg
KD-PD-114382__v001__img1;KD-PD-114382__v001;KD-PD-114382;1;/assets/images/6a85bab0339ea_big.jpg
KD-PD-114383__v001__img1;KD-PD-114383__v001;KD-PD-114383;1;/assets/images/6a06d76222d16_big.jpg
KD-PD-114384__v001__img1;KD-PD-114384__v001;KD-PD-114384;1;/assets/images/6a85ba923b6ef_big.jpg
KD-PD-114385__v001__img1;KD-PD-114385__v001;KD-PD-114385;1;/assets/images/6a85b6e1b4b86_big.jpg
KD-PD-10288__v001__img1;KD-PD-10288__v001;KD-PD-10288;1;/assets/images/6a0d5b3b35c53_big.jpg
KD-PD-10288__v001__img2;KD-PD-10288__v001;KD-PD-10288;2;/assets/images/68ecbba698a58_big.jpg
KD-PD-10288__v002__img1;KD-PD-10288__v002;KD-PD-10288;1;/assets/images/6a0d5b3b35c53_big.jpg
KD-PD-10288__v002__img2;KD-PD-10288__v002;KD-PD-10288;2;/assets/images/68ecbba698a58_big.jpg
KD-PD-11020__v001__img1;KD-PD-11020__v001;KD-PD-11020;1;/assets/images/6a0d5b4123311_big.jpg
KD-PD-11020__v002__img1;KD-PD-11020__v002;KD-PD-11020;1;/assets/images/6a0d5b3d445c5_big.jpg
KD-PD-10414__v001__img1;KD-PD-10414__v001;KD-PD-10414;1;/assets/images/6a84708e939ec_big.jpg
KD-PD-10932__v001__img1;KD-PD-10932__v001;KD-PD-10932;1;/assets/images/69441f32012f2_big.jpg
KD-PD-10587__v001__img1;KD-PD-10587__v001;KD-PD-10587;1;/assets/images/6a84709a367e8_big.jpg
KD-PD-10567__v001__img1;KD-PD-10567__v001;KD-PD-10567;1;/assets/images/6a8470a8f0e87_big.jpg
KD-PD-10450__v001__img1;KD-PD-10450__v001;KD-PD-10450;1;/assets/images/6a8471f1dc0ec_big.jpg
KD-PD-10450__v002__img1;KD-PD-10450__v002;KD-PD-10450;1;/assets/images/6a8471f1dc0ec_big.jpg
KD-PD-10400__v001__img1;KD-PD-10400__v001;KD-PD-10400;1;/assets/images/694150e829683_big.jpg
KD-PD-10930__v001__img1;KD-PD-10930__v001;KD-PD-10930;1;/assets/images/694151510f837_big.jpg
KD-PD-8985__v001__img1;KD-PD-8985__v001;KD-PD-8985;1;/assets/images/KD-PD-8985.png
KD-PD-8985__v002__img1;KD-PD-8985__v002;KD-PD-8985;1;/assets/images/KD-PD-8985.png
KD-PD-8982__v001__img1;KD-PD-8982__v001;KD-PD-8982;1;/assets/images/KD-PD-8982WHITE.png
KD-PD-8982__v002__img1;KD-PD-8982__v002;KD-PD-8982;1;/assets/images/KD-PD-8982WHITE.png
KD-PD-8982__v003__img1;KD-PD-8982__v003;KD-PD-8982;1;/assets/images/KD-PD-8982GREEN.png
KD-PD-8982__v004__img1;KD-PD-8982__v004;KD-PD-8982;1;/assets/images/KD-PD-8982GREEN.png
KD-PD-11033__v001__img1;KD-PD-11033__v001;KD-PD-11033;1;/assets/images/69e233fdc6992_big.jpg
KD-PD-11034__v001__img1;KD-PD-11034__v001;KD-PD-11034;1;/assets/images/69e234045d0a5_big.jpg
KD-PD-10841__v001__img1;KD-PD-10841__v001;KD-PD-10841;1;/assets/images/KD-PD-10841БЕЖЕВЫЙ.png
KD-PD-10841__v002__img1;KD-PD-10841__v002;KD-PD-10841;1;/assets/images/KD-PD-10841ГОЛУБОЙ.png
KD-PD-10841__v003__img1;KD-PD-10841__v003;KD-PD-10841;1;/assets/images/KD-PD-10841ЭКРЮ.png
KD-PD-10786__v001__img1;KD-PD-10786__v001;KD-PD-10786;1;/assets/images/KD-PD-10786БЕЖЕВЫЙ.png
KD-PD-10786__v002__img1;KD-PD-10786__v002;KD-PD-10786;1;/assets/images/KD-PD-10786ГОЛУБОЙ.png
KD-PD-10786__v003__img1;KD-PD-10786__v003;KD-PD-10786;1;/assets/images/KD-PD-10786ЭКРЮ.png
KD-PD-7947__v001__img1;KD-PD-7947__v001;KD-PD-7947;1;/assets/images/687e4847be118_big.jpg
KD-PD-8312__v001__img1;KD-PD-8312__v001;KD-PD-8312;1;/assets/images/6a8317467f780_big.jpg
KD-PD-7941__v001__img1;KD-PD-7941__v001;KD-PD-7941;1;/assets/images/68ee0faf95812_big.png
KD-PD-7941__v001__img2;KD-PD-7941__v001;KD-PD-7941;2;/assets/images/6a394b4a57a59_big.jpg
KD-PD-7942__v001__img1;KD-PD-7942__v001;KD-PD-7942;1;/assets/images/6a3a860480fbd_big.jpg
KD-PD-7942__v002__img1;KD-PD-7942__v002;KD-PD-7942;1;/assets/images/6a3a860480fbd_big.jpg
KD-PD-7242__v001__img1;KD-PD-7242__v001;KD-PD-7242;1;/assets/images/6a831e350cf34_big.jpg
KD-PD-7938__v001__img1;KD-PD-7938__v001;KD-PD-7938;1;/assets/images/6a394b88d86f5_big.jpg
KD-PD-7938__v001__img2;KD-PD-7938__v001;KD-PD-7938;2;/assets/images/6a394b886643a_big.jpg
KD-PD-8256__v001__img1;KD-PD-8256__v001;KD-PD-8256;1;/assets/images/6a847053607fe_big.jpg
KD-PD-7939__v001__img1;KD-PD-7939__v001;KD-PD-7939;1;/assets/images/6a632cffe8804_big.jpg
KD-PD-7939__v001__img2;KD-PD-7939__v001;KD-PD-7939;2;/assets/images/6a632cff1c511_big.jpg
KD-PD-7944__v001__img1;KD-PD-7944__v001;KD-PD-7944;1;/assets/images/6a06d7497fe35_big.jpg
KD-PD-7944__v001__img2;KD-PD-7944__v001;KD-PD-7944;2;/assets/images/6a3a73674e96f_big.jpg
KD-PD-7944__v002__img1;KD-PD-7944__v002;KD-PD-7944;1;/assets/images/6a06d7497fe35_big.jpg
KD-PD-7944__v002__img2;KD-PD-7944__v002;KD-PD-7944;2;/assets/images/6a3a73674e96f_big.jpg
KD-PD-7944__v003__img1;KD-PD-7944__v003;KD-PD-7944;1;/assets/images/6a06d7497fe35_big.jpg
