capsule_id;normalized_key;capsule_label;slug;product_count;variant_count
cap_616ab631d5;ледяные узоры;Ледяные узоры;ledyanye-uzory;5;9
cap_235a4f2c57;лунная сказка;Лунная сказка;lunnaya-skazka;5;11
cap_fe08c5b62f;нити;Нити;niti;2;3
cap_fbe1debe5c;тайна;Тайна;taina;6;11
cap_0495d7f773;феникс;Феникс;feniks;3;4
