Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение
1,KD-PD-1023,Подушка с кружевом,Белый,60x60 см,/kd/images/products/KD-PD-1023-WHITE01.png,/kd/images/products/KD-PD-1023-WHITE02.png,,60 см,60 см,,,,Хлопок,"Внешняя часть: 100% Хлопок, Наполнитель: 100% Пух",Кружево,,,Пледы и подушки,Декоративные подушки,Зимняя сказка,
2,KD-PD-1023,Подушка с кружевом,Молочный,60x60 см,/kd/images/products/KD-PD-1023-BEIGE01.png,/kd/images/products/KD-PD-1023-BEIGE02.png,,60 см,60 см,,,,Хлопок,"Внешняя часть: 100% Хлопок, Наполнитель: 100% Пух",Кружево,,,Пледы и подушки,Декоративные подушки,Зимняя сказка,
3,KD-PD-1023,Подушка с кружевом,Синий,60x60 см,/kd/images/products/KD-PD-1023-BLUE01.png,/kd/images/products/KD-PD-1023-BLUE02.png,,60 см,60 см,,,,Хлопок,"Внешняя часть: 100% Хлопок, Наполнитель: 100% Пух",Кружево,,,Пледы и подушки,Декоративные подушки,Зимняя сказка,
4,KD-PD-1026,Плед из кружева,Белый,200x220 см,/kd/images/products/KD-PD-1026-WHITE01.png,/kd/images/products/KD-PD-1026-WHITE02.png,,200 см,220 см,,,,Хлопок,"70% хлопок, 30% лен",Кружево,,,Пледы и подушки,Плед,Зимняя сказка,
5,KD-PD-1026,Плед из кружева,Молочный,200x220 см,/kd/images/products/KD-PD-1026-BEIGE01.png,/kd/images/products/KD-PD-1026-BEIGE02.png,,200 см,220 см,,,,Хлопок,"70% хлопок, 30% лен",Кружево,,,Пледы и подушки,Плед,Зимняя сказка,
6,KD-PD-1026,Плед из кружева,Синий,200x220 см,/kd/images/products/KD-PD-1026-BLUE01.png,/kd/images/products/KD-PD-1026-BLUE02.png,,200 см,220 см,,,,Хлопок,"70% хлопок, 30% лен",Кружево,,,Пледы и подушки,Плед,Зимняя сказка,
7,KD-PD-1027,СТЁГАНОЕ ПОКРЫВАЛО «БАРХАТНЫЙ РИТМ»,Молочный,Евро 200×220 см,/kd/images/products/KD-PD-1027-MOL01.png,/kd/images/products/KD-PD-1027-MOL02.png,,200 см,220 см,,,Покрывало 1 шт,Микровелюр,Внешняя часть: 100% микровелюр Наполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка,
,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Молочный,Кинг сайз 220×240 см,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1027-MOL01.png,,,220 см,240 см,,,Покрывало 1 шт,Микровелюр,Внешняя часть: 100% микровелюр Наполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка,
8,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Серо-синий,Евро 200×220 см,/kd/images/products/KD-PD-1027-PES01.png,,,200 см,220 см,,,Покрывало 1 шт,Микровелюр,Внешняя часть: 100% микровелюр Наполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка,
,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Серо-синий,Кинг сайз 220×240 см,,,,220 см,240 см,,,Покрывало 1 шт,Микровелюр,Внешняя часть: 100% микровелюр Наполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка,
9,KD-PD-1030,"Чайная пара ""Лунная сказка""",Ночной синий,250 мл,/kd/images/time-tea-pair.png,,,,,,15 см,"Кружка 1 шт, Блюдце 1 шт",Фарфор,100% костяной фарфор,Рисунок,Лунная сказка,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Зимняя сказка,
