Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение
10,KD-PD-1024,"Комплект постельного белья ""Лунная сказка""",Ночной синий,Полуторный 140x220 см,/kd/images/products/KD-PD-1024-DARK01.png,/kd/images/products/KD-PD-1024-DARK02.png,,140 см,220 см,,,"Наволочка 2 шт, Простынь 1 шт, Пододеяльник 1 шт",Шелк,100% Сатин,Вышивка,Лунная сказка,,Постельное белье,Постельное белье,Зимняя сказка,
,KD-PD-1024,Комплект постельного белья «Лунная сказка»,Ночной синий,Евро 200×220 см,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1024-DARK01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1024-DARK02.png,,200 см,220 см,,,"Наволочка 2 шт, Простынь 1 шт, Пододеяльник 1 шт",Шелк,100% Сатин,Вышивка,Лунная сказка,,Постельное белье,Постельное белье,Зимняя сказка,
,KD-PD-1024,Комплект постельного белья «Лунная сказка»,Ночной синий,Кинг сайз 220×240 см,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1024-DARK01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1024-DARK02.png,,220 см,240 см,,,"Наволочка 2 шт, Простынь 1 шт, Пододеяльник 1 шт",Шелк,100% Сатин,Вышивка,Лунная сказка,,Постельное белье,Постельное белье,Зимняя сказка,
11,KD-PD-1025,"Тарелка ""Лунная сказка""",Ночной синий,23 см,https://kssafonova.github.io/kd/images/moon-plate.png,,,,,,23 см,,Фарфор,100% костяной фарфор,Рисунок,Лунная сказка,,Посуда и сервировка,Тарелки,Зимняя сказка,
12,KD-PD-1028,Натяжная простыня из сатина,Пудровый,Полуторный 140x220 см,https://kssafonova.github.io/kd/images/peach-sheet.jpg,/kd/images/products/KD-PD-1028-PUDRA02.png,/kd/images/products/KD-PD-1028-PUDRA03.png,140 см,220 см,,,Простынь 1 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
,KD-PD-1028,Натяжная простыня из сатина,Белый,Евро 200×220 см,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE03.png,,200 см,220 см,,,Простынь 1 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
,KD-PD-1028,Натяжная простыня из сатина,Белый,Кинг сайз 220×240 см,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE03.png,,220 см,240 см,,,Простынь 1 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
13,KD-PD-1028,Натяжная простыня из сатина,Белый,Полуторный 140x220 см,/kd/images/products/KD-PD-1028-WHITE01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE03.png,/kd/images/products/KD-PD-1028-WHITE03.png,140 см,220 см,,,Простынь 1 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
,KD-PD-1028,Натяжная простыня из сатина,Белый,Евро 200×220 см,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE03.png,,200 см,220 см,,,Простынь 1 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
,KD-PD-1028,Натяжная простыня из сатина,Белый,Кинг сайз 220×240 см,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE03.png,,220 см,240 см,,,Простынь 1 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
14,KD-PD-1028,Натяжная простыня из сатина,Ночной синий,Полуторный 140x220 см,/kd/images/products/KD-PD-1028-DARK01.png,/kd/images/products/KD-PD-1028-DARK02.png,,140 см,220 см,,,Простынь 1 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
,KD-PD-1028,Натяжная простыня из сатина,Белый,Евро 200×220 см,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE03.png,,200 см,220 см,,,Простынь 1 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
,KD-PD-1028,Натяжная простыня из сатина,Белый,Кинг сайз 220×240 см,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1028-WHITE03.png,,220 см,240 см,,,Простынь 1 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
15,KD-PD-1128,Наволочка из сатина,Пудровый,60 x 60 см,/kd/images/products/KD-PD-1128-PUDRA01.png,https://kssafonova.github.io/kd/images/imported-products/KD-PD-1128-PUDRA03.png,/kd/images/products/KD-PD-1128-PUDRA03.png,60 см,60 см,,,Наволочка 2 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
13,KD-PD-1128,Наволочка из сатина,Белый,60 x 60 см,/kd/images/products/KD-PD-1128-WHITE01.png,/kd/images/products/KD-PD-1128-WHITE02.png,/kd/images/products/KD-PD-1128-WHITE03.png,60 см,60 см,,,Наволочка 2 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
14,KD-PD-1128,Наволочка из сатина,Ночной синий,60 x 60 см,/kd/images/products/KD-PD-1128-DARK01.png,/kd/images/products/KD-PD-1128-DARK02.png,,60 см,60 см,,,Наволочка 2 шт,Шелк,100% Сатин,,,,Постельное белье,Постельное белье,,
16,KD-PD-2519,Свеча Феникс,Белый / Золотой,10 см,,,,10 см,,,,,,Воск,,Феникс,Дерево жизни,Декор для дома,Свечи и диффузоры,,Зимняя сказка
17,KD-PD-2519,Свеча Феникс,Белый / Золотой,10 см,,,,10 см,,,,,,Воск,,Феникс,Сандал и шалфей,Декор для дома,Свечи и диффузоры,,Зимняя сказка
18,KD-PD-11417,Тарелка обеденная Овация,Белый,30 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69cfd1dbd8788_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69cfd06a0b47c_big.jpg,,,,,30 см,Тарелка 1 шт,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,Тарелки,Зеленый салон,Красные линии
19,KD-PD-11415,Тарелка десертная Овация,Белый,19 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69a59fe31bc63_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a85b7d992053.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a732a78977_big.jpg,,,,19 см,Тарелка 1 шт,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,Тарелки,Зеленый салон,Красные линии
20,KD-PD-11416,Тарелка закусочная Овация,Белый,25 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69a59ff7219ee_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a85bab1cd7ff_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a73220661d_big.jpg,,,,25 см,Тарелка 1 шт,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,Тарелки,Зеленый салон,Красные линии
21,KD-PD-11514,Чайная пара Овация,Белый,350 мл,https://kultura-doma.ru/public/src/images/gallery/catalog/6a85be4b7c47d_big.jpg,https://kssafonova.github.io/kd/images/imported-products/699308d3be25c_big.jpg,,,,350 мл,18 см,Кружка 1 шт Блюдце 1 шт,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Зеленый салон,Красные линии
22,KD-PD-11428,Чайник Овация,Белый,990 мл,https://kultura-doma.ru/public/src/images/gallery/catalog/6a85bf69a9fab_big.jpg,https://kssafonova.github.io/kd/images/imported-products/699306910d923_big.jpg,,,,990 мл,,Чайник 1 шт,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,"Чайники, молочники и сахарницы",Зеленый салон,Красные линии
23,KD-PD-11430,Сахарница Овация,Белый,240 мл,https://kultura-doma.ru/public/src/images/gallery/catalog/6a85b5ce5156c_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6993066f183f9_big.jpg,,,,240 мл,,Сахарница 1 шт,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,"Чайники, молочники и сахарницы",Зеленый салон,Красные линии
24,KD-PD-11420,Салатник Овация,Белый,16 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a85b4e761a4c_big.jpg,https://kssafonova.github.io/kd/images/imported-products/69958bb93c88e_big.jpg,,,,,16 см,Салатник 1 шт,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Зеленый салон,Красные линии
25,KD-PD-11438,Чайник Эхо,Белый,990 мл,https://kultura-doma.ru/public/src/images/gallery/catalog/6a85bf6840c27_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a85bf66ca35f_big.jpg,,,,990 мл,,Чайник 1 шт,фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,"Чайники, молочники и сахарницы",Красные линии,Зеленый салон
,KD-PD-11438,Чайник Эхо,,1800 мл,https://kultura-doma.ru/public/src/images/gallery/catalog/6a50b12627f2e_big.jpg,https://kssafonova.github.io/kd/images/imported-products/699f11c473620_big.jpg,,,,1800 мл,,Чайник 1 шт,костяной фарфор,100% костяной фарфор,,,,Посуда и сервировка,"Чайники, молочники и сахарницы",,
26,KD-PD-11438,Чайная пара Эхо,Белый,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a50b12627f2e_big.jpg,https://kssafonova.github.io/kd/images/imported-products/699f11c473620_big.jpg,,,,1800 мл,,Чайник 1 шт,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Красные линии,Зеленый салон
27,KD-PD-11438,Тарелка глубокая Эхо,Белый,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a50b12627f2e_big.jpg,https://kssafonova.github.io/kd/images/imported-products/699f11c473620_big.jpg,,,,1800 мл,,Чайник 1 шт,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Красные линии,Зеленый салон
28,KD-PD-11438,Тарелка закусочная Эхо,Белый,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a50b12627f2e_big.jpg,https://kssafonova.github.io/kd/images/imported-products/699f11c473620_big.jpg,,,,1800 мл,,Чайник 1 шт,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,Тарелки,Красные линии,Зеленый салон
29,KD-PD-11438,Тарелка обеденная Эхо,Белый,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a50b12627f2e_big.jpg,https://kssafonova.github.io/kd/images/imported-products/699f11c473620_big.jpg,,,,1800 мл,,Чайник 1 шт,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,Тарелки,Красные линии,Зеленый салон
30,KD-PD-11438,Тарелка десертная Эхо,Белый,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a50b12627f2e_big.jpg,https://kssafonova.github.io/kd/images/imported-products/699f11c473620_big.jpg,,,,1800 мл,,Чайник 1 шт,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,Тарелки,Красные линии,Зеленый салон
31,KD-PD-11438,Супница Эхо,Белый,16 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a85bf7ba3109_big.jpg,https://kssafonova.github.io/kd/images/imported-products/699f11c473620_big.jpg,,,,1800 мл,16 см,Чайник 1 шт,фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Красные линии,Зеленый салон
32,KD-PD-10288,Ваза Айсберг,Белый,15 см,https://kssafonova.github.io/kd/images/imported-products/6a0d5b3b35c53_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68ecbb94f20dc_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68ecbba698a58_big.jpg,,,,,,фарфор,100% фарфор,,,,Декор для дома,Вазы и предметы интерьера,Зимняя сказка,
33,KD-PD-11020,Ваза Паскаль,Синий,36 см,https://kssafonova.github.io/kd/images/imported-products/6a0d5b3d445c5_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0d5b3e03a32_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0d5b3e7f39e_big.jpg,,,,,,стекло,100% стекло,,,,Декор для дома,Вазы и предметы интерьера,Зимняя сказка,
,KD-PD-11020,Ваза Паскаль,Желтый,36 см,https://kssafonova.github.io/kd/images/imported-products/6a0d5b3d445c5_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0d5b3e03a32_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a0d5b3e7f39e_big.jpg,,,,,,стекло,100% стекло,,,,Декор для дома,Вазы и предметы интерьера,Зимняя сказка,
36,KD-PD-10414,Дорожка с кисточками Мокоши,Красный,50х180 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218c75fc49_big.jpg,https://kssafonova.github.io/kd/images/imported-products/694173f643ab4_big.jpg,,50 см,180 см,,,,лён,100% лен,"Вышивка, Кисточки",Мокоши,,Столовый текстиль,Столовый текстиль,Красные линии,
37,KD-PD-10932,Кофейная пара Мокоши,Красный,,https://kssafonova.github.io/kd/images/imported-products/69441f32012f2_big.jpg,https://kssafonova.github.io/kd/images/imported-products/69417a5df2b89_big.jpg,https://kssafonova.github.io/kd/images/imported-products/69441f337c0e5_big.jpg,,,75 мл,,Кружка 1 шт Блюдце 1 шт,фарфор,100% фарфор,,Мокоши,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Красные линии,
38,KD-PD-10587,Плейсмат Мокоши,Красный,40х50 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69f219228e2f7_big.jpg,https://kssafonova.github.io/kd/images/imported-products/694173bbd1f6f_big.jpg,,40 см,50 см,,,,сатин,100% сатин,,Мокоши,,Столовый текстиль,Плейсматы,Красные линии,
39,KD-PD-10567,Салфетка Мокоши,Красный,45х45 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a8470a8f0e87_big.jpg,https://kssafonova.github.io/kd/images/imported-products/694173df49b51_big.jpg,,45 см,45 см,,,,сатин,100% сатин,,Мокоши,,Столовый текстиль,Столовый текстиль,Красные линии,
40,KD-PD-10450,Скатерть Мокоши,Красный,180x180 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a845fd9d58e0_big.jpg,https://kssafonova.github.io/kd/images/imported-products/694173ce4c040_big.jpg,,180 см,180 см,,,,Хлопок,100% Хлопок,Вышивка,Мокоши,,Столовый текстиль,Столовый текстиль,Красные линии,
,KD-PD-10450,Скатерть Мокоши,белый,180x250 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3015125e4e0_big.jpg,https://kssafonova.github.io/kd/images/imported-products/694173ce4c040_big.jpg,,180 см,250 см,,,,сатин,100% сатин,,Мокоши,,Столовый текстиль,Столовый текстиль,Красные линии,
41,KD-PD-10400,Тарелка десертная Мокоши,Красный,19 см,https://kssafonova.github.io/kd/images/imported-products/694150e829683_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6941765b6745a_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6941765cf2adb_big.jpg,,,,19 см,Тарелка 1 шт,фарфор,100% фарфор,,Мокоши,,Посуда и сервировка,Тарелки,Красные линии,
42,KD-PD-10930,Чайная пара Мокоши,Красный,,https://kssafonova.github.io/kd/images/imported-products/694151510f837_big.jpg,https://kssafonova.github.io/kd/images/imported-products/69417699838e2_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6941514ed8ad6_big.jpg,,,250 мл,,Кружка 1 шт Блюдце 1 шт,фарфор,100% фарфор,,Мокоши,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Красные линии,
43,KD-PD-8985,Скатерть Весна,Белый,180x250 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5756073f700_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68ef6af8d5df1_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68b040117f548_big.jpg,180 см,250 см,,,,сатин,100% сатин,,Весна,,Столовый текстиль,Столовый текстиль,,Зеленый салон
