Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Фото 1;Фото 2;Фото 3;Описание готового решения
KD-PD-10459;Скатерть Дияф;Белый / Золотой;null;180х250 см;22 900,00 ₽;;180 см;250 см;null;null;null;Хлопок;100% Хлопок;null;Дияф;null;Столовый текстиль;Столовый текстиль;Пламя морских глубин ;null;/images/imported-products/6a5756979a0b7_big.jpg;null;null;null
KD-PD-10459;Скатерть Дияф;Белый / Золотой;null;180х350 см;22 900,00 ₽;;180 см;350 см;null;null;null;Хлопок;100% Хлопок;null;Дияф;null;Столовый текстиль;Столовый текстиль;Пламя морских глубин ;null;/images/imported-products/6a5756979a0b7_big.jpg;null;null;null
KD-PD-10946;Тарелка десертная Дияф;Белый / Голубой;null;21 см;2 190,00 ₽;;null;null;null;21 см;null;фарфор;100% фарфор;null;Дияф;null;Посуда и сервировка;Тарелки;Пламя морских глубин ;null;/images/imported-products/698def311a152_big.jpg;null;null;null
KD-PD-10947;Тарелка закусочная Дияф;Белый / Голубой;null;24 см;3 190,00 ₽;;null;null;null;24 см;null;фарфор;100% фарфор;null;Дияф;null;Посуда и сервировка;Тарелки;Пламя морских глубин ;null;/images/imported-products/698dee47b2fe4_big.jpg;null;null;null
KD-PD-10948;Тарелка обеденная Дияф;Белый / Голубой;null;27 см;3 990,00 ₽;;null;null;null;27 см;null;фарфор;100% фарфор;null;Дияф;null;Посуда и сервировка;Тарелки;Пламя морских глубин ;null;/images/imported-products/69957ba4317d2_big.jpg;null;null;null
KD-PD-10951;Чайная пара Дияф;Белый / Голубой;null;250 мл;3 990,00 ₽;;null;null;250 мл;null;Кружка 1 шт\nБлюдце 1 шт;фарфор;100% фарфор;null;Дияф;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;null;/images/imported-products/698dee8e5df80_big.jpg;null;null;null
KD-PD-10949;Чайник Дияф;Белый / Голубой;null;650 мл;4 990,00 ₽;;null;null;650 мл;null;null;фарфор;100% фарфор;null;Дияф;null;Посуда и сервировка;Чайники, молочники и сахарницы;Пламя морских глубин ;null;/images/imported-products/6a394b019545c_big.jpg;null;null;null
KD-PD-10287;Менажница Дрёмица;коричневый;null;30 см;9 900,00 ₽;null;17 см;30 см;null;null;null;Дерево / Металл;дуб;null;Дрёмица;null;Посуда и сервировка;Блюда и подача;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;/images/imported-products/68da38fa3c974_big.jpg;/images/imported-products/68f8dd754708a_big.jpg;null;null
KD-PD-10127;Поднос Дрёмица;коричневый;null;480 см;49 900,00 ₽;null;480 см;310 см;null;null;null;Дерево / Металл;Американский орех;null;Дрёмица;null;Декор для дома;Подносы;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;/images/imported-products/68da59cb6d26a_big.jpg;/images/imported-products/68fa41494a61c_big.jpg;null;null
KD-PD-10127;Поднос Дрёмица;коричневый;null;280 см;39 900,00 ₽;null;280 см;280 см;null;null;null;Дерево / Металл;Американский орех;null;Дрёмица;null;Декор для дома;Подносы;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;/images/imported-products/68da59cb6d26a_big.jpg;/images/imported-products/68fa41494a61c_big.jpg;null;null
KD-PD-10283;Подставка для салфеток Дрёмица;коричневый;null;Единый размер;8 900,00 ₽;null;null;null;null;null;null;Дерево / Металл;Дуб;null;Дрёмица;null;Декор для дома;Декор для дома;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;/images/imported-products/68da390e4614a_big.jpg;/images/imported-products/68ecc502bdb94_big.jpg;null;null
KD-PD-10284;Подставка-менажница Дрёмица;коричневый;null;Единый размер;19 900,00 ₽;null;null;null;null;null;null;Дерево / Металл;Дуб;null;Дрёмица;null;Декор для дома;Декор для дома;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;/images/imported-products/69f06b63e0eac_big.jpg;/images/imported-products/68ecc79f1d5e2_big.jpg;null;null
KD-PD-10256;Кружка Феникс;Белый / Золотой;null;450 мл;2 990,00 ₽;null;null;null;450 мл;null;null;null;null;null;Феникс;Феникс;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;Зимняя сказка;/images/imported-products/68ee0feabb4b9_big.png;null;null;null
KD-PD-10254;Чайная пара Феникс;Белый / Золотой;null;250 мл;5 599,00 ₽;null;null;null;250 мл;16 см;Кружка 1 шт\nБлюдце 1 шт;Фарфор;null;null;Феникс;Феникс;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;Зимняя сказка;/images/imported-products/6a2034e4b2241_big.jpg;/images/imported-products/68e774cfc2fb9_big.jpg;null;null
KD-PD-2000;Декоративная подушка «Ледяные узоры»;Белый;null;50×50 см;5 990,00 ₽;null;50 см;50 см;null;null;null;Хлопок;Внешняя часть: 100% хлопок, наполнитель: 100% пух;Декоративный орнамент «Ледяные узоры»;Ледяные узоры;Ледяные узоры;Пледы и подушки;Декоративные подушки;Зимняя сказка;null;/images/imported-products/KD-PD-2000-WHITE01.png;null;null;null
KD-PD-2000;Декоративная подушка «Ледяные узоры»;Ледяной Голубой;null;50×50 см;5 990,00 ₽;null;50 см;50 см;null;null;null;Хлопок;Внешняя часть: 100% хлопок, наполнитель: 100% пух;Декоративный орнамент «Ледяные узоры»;Ледяные узоры;Ледяные узоры;Пледы и подушки;Декоративные подушки;Зимняя сказка;null;/images/imported-products/KD-PD-2000-BLUE01.png;null;null;null
KD-PD-2000;Декоративная подушка «Ледяные узоры»;Ночной синий;null;50×50 см;5 990,00 ₽;null;50 см;50 см;null;null;null;Хлопок;Внешняя часть: 100% хлопок, наполнитель: 100% пух;Декоративный орнамент «Ледяные узоры»;Ледяные узоры;Ледяные узоры;Пледы и подушки;Декоративные подушки;Зимняя сказка;null;/images/imported-products/KD-PD-2000-DARK01.png;null;null;null
KD-PD-2003;Плед «Ледяные узоры»;Ледяной Голубой;null;140×200 см;12 990,00 ₽;null;140 см;200 см;null;null;null;Шерсть и хлопок;70% шерсть, 30% хлопок;Жаккардовый орнамент;Ледяные узоры;Ледяные узоры;Пледы и подушки;Плед;Зимняя сказка;null;/images/imported-products/KD-PD-2003-BLUE01.png;/images/imported-products/KD-PD-2003-BLUE02.png;null;null
