Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Фото 1;Фото 2;Фото 3;Описание готового решения
KD-PD-1028;Натяжная простыня из сатина;Ночной синий;null;Евро 200×220 см;5 990,00 ₽;null;200 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1028-DARK01.png;/images/imported-products/KD-PD-1028-DARK02.png;null;null
KD-PD-1028;Натяжная простыня из сатина;Ночной синий;null;Кинг сайз 220×240 см;6 990,00 ₽;null;220 см;240 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1028-DARK01.png;/images/imported-products/KD-PD-1028-DARK02.png;null;null
KD-PD-1028;Натяжная простыня из сатина;Пудровый;null;Полуторный 140x220 см;4 990,00 ₽;null;140 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/peach-sheet.jpg;/images/imported-products/KD-PD-1028-PUDRA02.png;null;null
KD-PD-1028;Натяжная простыня из сатина;Пудровый;null;Евро 200×220 см;5 990,00 ₽;null;200 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1028-WHITE01.png;/images/imported-products/KD-PD-1028-WHITE03.png;null;null
KD-PD-1028;Натяжная простыня из сатина;Пудровый;null;Кинг сайз 220×240 см;6 990,00 ₽;null;220 см;240 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1028-WHITE01.png;/images/imported-products/KD-PD-1028-WHITE03.png;null;null
KD-PD-1128;Наволочка из сатина;Белый;null;60 x 60 см;4 990,00 ₽;null;60 см;60 см;null;null;Наволочка 2 шт;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1128-WHITE01.png;/images/imported-products/KD-PD-1128-WHITE02.png;null;null
KD-PD-1128;Наволочка из сатина;Ночной синий;null;60 x 60 см;4 990,00 ₽;null;60 см;60 см;null;null;Наволочка 2 шт;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1128-DARK01.png;/images/imported-products/KD-PD-1128-DARK02.png;null;null
KD-PD-1128;Наволочка из сатина;Пудровый;null;60 x 60 см;4 990,00 ₽;null;60 см;60 см;null;null;Наволочка 2 шт;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1128-PUDRA01.png;/images/imported-products/KD-PD-1128-PUDRA03.png;null;null
KD-PD-2519;Свеча Феникс;Белый / Золотой;Дерево жизни;10 см;4 990,00 ₽;null;10 см;null;null;null;null;null;Воск;null;Феникс;Феникс;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;Зимняя сказка;/images/imported-products/images1.jpeg;/images/imported-products/images.jpeg;null;null
KD-PD-2519;Свеча Феникс;Белый / Золотой;Сандал и шалфей;10 см;4 990,00 ₽;null;10 см;null;null;null;null;null;Воск;null;Феникс;Феникс;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;Зимняя сказка;/images/imported-products/images1.jpeg;/images/imported-products/images.jpeg;null;null
KD-PD-11417;Тарелка обеденная Овация;Белый;null;30 см;1 794,00 ₽;2 990,00 ₽;null;null;null;30 см;null;фарфор;100% костяной фарфор;null;Овация;null;Посуда и сервировка;Тарелки;Зеленый салон Пламя морских глубин ;Красные линии;/images/imported-products/69cfd1dbd8788_big.jpg;null;null;null
KD-PD-11415;Тарелка десертная Овация;Белый;null;19 см;894,00 ₽;1 490,00 ₽;null;null;null;19 см;null;фарфор;100% костяной фарфор;null;Овация;null;Посуда и сервировка;Тарелки;Зеленый салон Пламя морских глубин ;Красные линии;/images/imported-products/69a59fe31bc63_big.jpg;null;null;null
KD-PD-11416;Тарелка закусочная Овация;Белый;null;25 см;1 314,00 ₽;2 190,00 ₽;null;null;null;25 см;null;фарфор;100% костяной фарфор;null;Овация;null;Посуда и сервировка;Тарелки;Зеленый салон Пламя морских глубин ;Красные линии;/images/imported-products/69a59ff7219ee_big.jpg;null;null;null
KD-PD-11514;Чайная пара Овация;Белый;null;350 мл;1 194,00 ₽;1 990,00 ₽;null;null;350 мл;18 см;Кружка 1 шт\nБлюдце 1 шт;фарфор;100% костяной фарфор;null;Овация;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Зеленый салон Пламя морских глубин ;Красные линии;/images/imported-products/6a85be4b7c47d_big.jpg;null;null;null
KD-PD-11428;Чайник Овация;Белый;null;990 мл;2 394,00 ₽;3 990,00 ₽;null;null;990 мл;null;null;фарфор;100% костяной фарфор;null;Овация;null;Посуда и сервировка;Чайники, молочники и сахарницы;Зеленый салон Пламя морских глубин ;Красные линии;/images/imported-products/6a85bf69a9fab_big.jpg;null;null;null
KD-PD-11430;Сахарница Овация;Белый;null;240 мл;954,00 ₽;1 590,00 ₽;null;null;240 мл;null;null;фарфор;100% костяной фарфор;null;Овация;null;Посуда и сервировка;Чайники, молочники и сахарницы;Зеленый салон Пламя морских глубин ;Красные линии;/images/imported-products/6a85b5ce5156c_big.jpg;null;null;null
KD-PD-11420;Салатник Овация;Белый;null;16 см;1 794,00 ₽;2 990,00 ₽;null;null;null;16 см;null;фарфор;100% костяной фарфор;null;Овация;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Зеленый салон Пламя морских глубин ;Красные линии;/images/imported-products/6a85b4e761a4c_big.jpg;null;null;null
KD-PD-11438;Чайник Эхо;Белый;null;990 мл;5 593,00 ₽;7 990,00 ₽;null;null;990 мл;null;null;фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Чайники, молочники и сахарницы;Красные линии;Зеленый салон;/images/imported-products/6a85bf6840c27_big.jpg;null;null;null
KD-PD-11438;Чайник Эхо;Белый;null;1800 мл;6 593,00 ₽;9 990,00 ₽;null;null;1800 мл;null;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Чайники, молочники и сахарницы;Красные линии;Зеленый салон;/images/imported-products/6a85bf6840c27_big.jpg;null;null;null
KD-PD-11438A;Чайная пара Эхо;Белый;null;250 мл;2 233,00 ₽;3 190,00 ₽;null;null;250 мл;18 см;Кружка 1 шт\nБлюдце 1 шт;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Кружки, чайные и кофейные пары;null;null;/images/imported-products/6a85bf55372ef_big.jpg;null;null;null
KD-PD-114381;Тарелка глубокая Эхо;Белый;null;350 мл;3 353,00 ₽;4 790,00 ₽;null;null;350 мл;null;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Красные линии;Зеленый салон;/images/imported-products/6a85b7d65b6f3_big.jpg;null;null;null
KD-PD-114382;Тарелка закусочная Эхо;Белый;null;20 см;2 233,00 ₽;3 190,00 ₽;null;null;null;20 см;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Тарелки;Красные линии;Зеленый салон;/images/imported-products/6a85bab0339ea_big.jpg;null;null;null
KD-PD-114383;Тарелка обеденная Эхо;Белый;null;25 см;2 793,00 ₽;3 990,00 ₽;null;null;null;30 см;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Тарелки;Красные линии;Зеленый салон;/images/imported-products/6a06d76222d16_big.jpg;null;null;null
KD-PD-114384;Тарелка десертная Эхо;Белый;null;18 см;1 673,00 ₽;2 390,00 ₽;null;null;null;18 см;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Тарелки;Красные линии;Зеленый салон;/images/imported-products/6a85ba923b6ef_big.jpg;null;null;null
KD-PD-114385;Супница Эхо;Белый;null;650 мл;7 273,00 ₽;10 390,00 ₽;null;null;650 мл;null;null;фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Красные линии;Зеленый салон;/images/imported-products/6a85b6e1b4b86_big.jpg;null;null;null
KD-PD-10288;Ваза Айсберг;Белый;null;15 см;14 900,00 ₽;null;null;null;null;null;null;фарфор;100% фарфор;null;null;null;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;null;/images/imported-products/6a0d5b3b35c53_big.jpg;/images/imported-products/68ecbba698a58_big.jpg;null;null
KD-PD-10288;Ваза Айсберг;Белый;null;18 см;16 900,00 ₽;null;null;null;null;null;null;фарфор;100% фарфор;null;null;null;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;null;/images/imported-products/6a0d5b3b35c53_big.jpg;/images/imported-products/68ecbba698a58_big.jpg;null;null
KD-PD-11020;Ваза Паскаль;Желтый;null;36 см;24 900,00 ₽;null;null;null;null;null;null;Стекло;100% стекло;null;null;null;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;null;/images/imported-products/6a0d5b4123311_big.jpg;null;null;null
KD-PD-11020;Ваза Паскаль;Синий;null;36 см;24 900,00 ₽;null;null;null;null;null;null;Стекло;100% стекло;null;null;null;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;null;/images/imported-products/6a0d5b3d445c5_big.jpg;null;null;null
KD-PD-10414;Дорожка Мокоши;Белый;null;50х180 см;14 900,00 ₽;null;50 см;180 см;null;null;null;лён;100% лен;Вышивка\nКисточки;Мокоши;null;Столовый текстиль;Столовый текстиль;Красные линии;null;/images/imported-products/6a84708e939ec_big.jpg;null;null;null
KD-PD-10932;Кофейная пара Мокоши;Белый;null;75 мл;2 990,00 ₽;null;null;null;75 мл;null;Кружка 1 шт\nБлюдце 1 шт;фарфор;100% фарфор;null;Мокоши;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Красные линии;null;/images/imported-products/69441f32012f2_big.jpg;null;null;null
KD-PD-10587;Плейсмат Мокоши;Белый;null;40х50 см;1 590,00 ₽;null;40 см;50 см;null;null;null;Хлопок;100% Хлопок;Вышивка;Мокоши;null;Столовый текстиль;Столовый текстиль;Красные линии;null;/images/imported-products/6a84709a367e8_big.jpg;null;null;null
KD-PD-10567;Салфетка Мокоши;Белый;null;45х45 см;1 990,00 ₽;null;45 см;45 см;null;null;null;Хлопок;100% Хлопок;Вышивка;Мокоши;null;Столовый текстиль;Столовый текстиль;Красные линии;null;/images/imported-products/6a8470a8f0e87_big.jpg;null;null;null
KD-PD-10450;Скатерть Мокоши;Белый;null;180x180 см;19 900,00 ₽;null;180 см;180 см;null;null;null;Хлопок;100% Хлопок;Вышивка;Мокоши;null;Столовый текстиль;Столовый текстиль;Красные линии;null;/images/imported-products/6a8471f1dc0ec_big.jpg;null;null;null
KD-PD-10450;Скатерть Мокоши;Белый;null;180x250 см;20 900,00 ₽;null;180 см;250 см;null;null;null;Хлопок;100% Хлопок;Вышивка;Мокоши;null;Столовый текстиль;Столовый текстиль;Красные линии;null;/images/imported-products/6a8471f1dc0ec_big.jpg;null;null;null
KD-PD-10400;Тарелка десертная Мокоши;Красный;null;19 см;2 990,00 ₽;null;null;null;null;19 см;null;Фарфор;100% фарфор;null;Мокоши;null;Посуда и сервировка;Тарелки;Красные линии;null;/images/imported-products/694150e829683_big.jpg;null;null;null
KD-PD-10930;Чайная пара Мокоши;Красный;null;250 мл;4 590,00 ₽;null;null;null;250 мл;19 см;Кружка 1 шт\nБлюдце 1 шт;Фарфор;100% фарфор;null;Мокоши;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Красные линии;null;/images/imported-products/694151510f837_big.jpg;null;null;null
KD-PD-8985;Скатерть Весна;Белый;null;180x250 см;9 900,00 ₽;null;180 см;250 см;null;null;null;Хлопок;100% Хлопок;null;Весна;null;Столовый текстиль;Столовый текстиль;Зеленый салон;Зеленый салон;/images/imported-products/6a5756073f700_big.jpg;/images/imported-products/68b040117f548_big.jpg;null;null
KD-PD-8985;Скатерть Весна;Белый;null;180x350 см;9 900,00 ₽;null;180 см;350 см;null;null;null;Хлопок;100% Хлопок;null;Весна;null;Столовый текстиль;Столовый текстиль;Зеленый салон;Зеленый салон;/images/imported-products/6a5756073f700_big.jpg;null;null;null
KD-PD-8982;Плейсмат Весна;Белый;null;45х45 см;990,00 ₽;null;45 см;65 см;null;null;null;Хлопок;100% Хлопок;null;Весна;null;Столовый текстиль;Столовый текстиль;null;Зеленый салон;/images/imported-products/6a84701c28299_big.jpg;null;null;null
KD-PD-8982;Плейсмат Весна;Белый;null;45х65 см;990,00 ₽;null;45 см;65 см;null;null;null;Хлопок;100% Хлопок;null;Весна;null;Столовый текстиль;Столовый текстиль;null;Зеленый салон;/images/imported-products/6a84701c28299_big.jpg;null;null;null
KD-PD-8982;Плейсмат Весна;Зеленый;null;45х45 см;990,00 ₽;null;45 см;65 см;null;null;null;Хлопок;100% Хлопок;null;Весна;null;Столовый текстиль;Столовый текстиль;null;Зеленый салон;/images/imported-products/6a84702c37bb4_big.jpg;null;null;null
KD-PD-8982;Плейсмат Весна;Зеленый;null;45х65 см;990,00 ₽;null;45 см;65 см;null;null;null;Хлопок;100% Хлопок;null;Весна;null;Столовый текстиль;Столовый текстиль;null;Зеленый салон;/images/imported-products/6a84702c37bb4_big.jpg;null;null;null
KD-PD-11616;Плейсмат Алая нить;Белый;null;40х40 см;1 194,00 ₽;1 990,00 ₽;40 см;40 см;null;null;null;Хлопок;100% Хлопок;null;Алая нить;null;Столовый текстиль;Столовый текстиль;null;Красные линии;/images/imported-products/6a8319ebd8c65_big.jpg;null;null;null
KD-PD-11574;Чайная пара Алая нить;Белый;null;320 мл;5 990,00 ₽;null;null;null;320 мл;null;Кружка 1 шт Блюдце 1 шт;Фарфор;100% Фарфор;null;Алая нить;null;Посуда и сервировка;Кружки, чайные и кофейные пары;null;Красные линии;/images/imported-products/6a85be4d14dd5_big.jpg;null;null;null
KD-PD-11033;Подушка декоративная Алатырь;Бежевый;null;40х40 см;5 990,00 ₽;null;40 см;40 см;null;null;null;null;null;null;Мокоши;null;Пледы и подушки;Декоративные подушки;Красные линии;null;/images/imported-products/69e233fdc6992_big.jpg;null;null;null
KD-PD-11034;Подушка декоративная Мокоши;Бежевый;null;40х40 см;5 990,00 ₽;null;40 см;40 см;null;null;null;null;null;null;Мокоши;null;Пледы и подушки;Декоративные подушки;Красные линии;null;/images/imported-products/69e234045d0a5_big.jpg;null;null;null
KD-PD-10841;Плед Пушица;Бежевый;null;150х200 см;29 900,00 ₽;null;null;null;null;null;null;null;null;null;Оренбургские узоры;null;Пледы и подушки;Плед;Красные линии Пламя морских глубин;Зимняя сказка Теплый брутализм;/images/imported-products/690caa6e3be4a_big.jpg;null;null;null
KD-PD-10841;Плед Пушица;Голубой;null;150х200 см;29 900,00 ₽;null;null;null;null;null;null;null;null;null;Оренбургские узоры;null;Пледы и подушки;Плед;Красные линии Пламя морских глубин;Зимняя сказка Теплый брутализм;/images/imported-products/690ca7e8a1da2_big.jpg;null;null;null
KD-PD-10841;Плед Пушица;Экрю;null;150х200 см;29 900,00 ₽;null;null;null;null;null;null;null;null;null;Оренбургские узоры;null;Пледы и подушки;Плед;Красные линии Пламя морских глубин;Зимняя сказка Теплый брутализм;/images/imported-products/69e0fef714064_big.jpg;null;null;null
KD-PD-10786;Подушка декоративная Пушица;Голубой;null;45х45 см;9 900,00 ₽;null;45 см;45 см;null;null;null;null;null;null;Оренбургские узоры;null;Пледы и подушки;Декоративные подушки;Красные линии Пламя морских глубин;Зимняя сказка Теплый брутализм;/images/imported-products/6a5f322580c1f_big.jpg;null;null;null
KD-PD-10786;Подушка декоративная Пушица;экрю;null;45х45 см;9 900,00 ₽;null;45 см;45 см;null;null;null;null;null;null;Оренбургские узоры;null;Пледы и подушки;Декоративные подушки;Красные линии Пламя морских глубин;Зимняя сказка Теплый брутализм;/images/imported-products/6a5f32cbe9c39_big.jpg;null;null;null
KD-PD-7947;Блюдо Петербург;Белый;null;36,5х25х2 см;5 995,00 ₽;11 990,00 ₽;null;null;null;null;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Блюда и подача;Зеленый салон;null;/images/imported-products/687e4847be118_big.jpg;null;null;null
KD-PD-8312;Дорожка Петербург;Белый;null;165х45 см;2 500,00 ₽;5 000,00 ₽;165 см;45 см;null;null;null;сатин;100% сатин;null;Петербург;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;/images/imported-products/6a8317467f780_big.jpg;null;null;null
KD-PD-7941;Кружка Петербург;Белый;null;null;4 995,00 ₽;9 990,00 ₽;null;null;null;null;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Зеленый салон;null;/images/imported-products/68ee0faf95812_big.png;/images/imported-products/6a394b4a57a59_big.jpg;null;null
KD-PD-7942;Салатник Петербург;Белый;null;null;2 995,00 ₽;5 990,00 ₽;null;null;null;null;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Зеленый салон;null;/images/imported-products/6a3a860480fbd_big.jpg;null;null;null
KD-PD-7942;Салатник Петербург;Белый;null;null;5 995,00 ₽;11 990,00 ₽;null;null;null;null;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Зеленый салон;null;/images/imported-products/6a3a860480fbd_big.jpg;null;null;null
KD-PD-7242;Салфетки Петербург;Белый;null;45х45 см;650,00 ₽;1 300,00 ₽;45 см;45 см;null;null;null;сатин;100% сатин;null;Петербург;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;/images/imported-products/6a831e350cf34_big.jpg;null;null;null
KD-PD-7938;Сахарница Петербург;Белый;null;null;7 950,00 ₽;15 900,00 ₽;null;null;null;null;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Чайники, молочники и сахарницы;Зеленый салон;null;/images/imported-products/6a394b88d86f5_big.jpg;/images/imported-products/6a394b886643a_big.jpg;null;null
KD-PD-8256;Скатерть Петербург;Белый;null;180х250 см;7 250,00 ₽;14 500,00 ₽;180 см;250 см;null;null;null;сатин;100% сатин;null;Петербург;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;/images/imported-products/6a847053607fe_big.jpg;null;null;null
KD-PD-7939;Сливочник Петербург;Белый;null;300 мл;6 450,00 ₽;12 900,00 ₽;null;null;300 мл;null;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Чайники, молочники и сахарницы;Зеленый салон;null;/images/imported-products/6a632cffe8804_big.jpg;/images/imported-products/6a632cff1c511_big.jpg;null;null
KD-PD-7944;Тарелка Петербург;Белый;null;20 см;2 895,00 ₽;5 790,00 ₽;20 см;20 см;null;20 см;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Тарелки;Зеленый салон;null;/images/imported-products/6a06d7497fe35_big.jpg;/images/imported-products/6a3a73674e96f_big.jpg;null;null
KD-PD-7944;Тарелка Петербург;Белый;null;23 см;3 245,00 ₽;6 490,00 ₽;20 см;20 см;null;23 см;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Тарелки;Зеленый салон;null;/images/imported-products/6a06d7497fe35_big.jpg;/images/imported-products/6a3a73674e96f_big.jpg;null;null
KD-PD-7944;Тарелка Петербург;Белый;null;27 см;3 995,00 ₽;7 990,00 ₽;20 см;20 см;null;27 см;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Тарелки;Зеленый салон;null;/images/imported-products/6a06d7497fe35_big.jpg;/images/imported-products/6a3a73674e96f_big.jpg;null;null
KD-PD-7940;Чайная пара Петербург;Белый;null;260 мл;4 995,00 ₽;9 990,00 ₽;null;null;260 мл;null;Кружка 1 шт\nБлюдце 1 шт;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Зеленый салон;null;/images/imported-products/6a394ba34f611_big.jpg;/images/imported-products/6a394ba3081b0_big.jpg;null;null
KD-PD-7937;Чайник Петербург;Белый;null;1100 мл;9 950,00 ₽;19 900,00 ₽;null;null;1100 мл;null;null;костяной фарфор;100% костяной фарфор;null;Петербург;null;Посуда и сервировка;Чайники, молочники и сахарницы;Зеленый салон;null;/images/imported-products/6a394f8eb12f9_big.jpg;/images/imported-products/6a394f8a58a79_big.jpg;null;null
KD-PD-9713;Обложка для ежедневника Текстура;коричневый;null;Единый размер;2 600,00 ₽;6 500,00 ₽;15 см;21 см;null;null;null;натуральная кожа;null;null;Текстура;null;Декор для дома;Канцтовары;Теплый брутализм;null;/images/imported-products/6a43759554a63_big.jpg;/images/imported-products/6a437596a2438_big.jpg;null;null
KD-PD-9718;Игра домино Текстура;Бежевый;null;Единый размер;6 200,00 ₽;15 500,00 ₽;19,5 см;19,5 см;null;null;null;натуральная кожа;null;null;Текстура;null;Декор для дома;Игры;Теплый брутализм;null;/images/imported-products/6a4375aa6eaed_big.jpg;/images/imported-products/6a4375ab2355c_big.jpg;null;null
KD-PD-9718;Игра домино Текстура;черный;null;Единый размер;6 200,00 ₽;15 500,00 ₽;19,5 см;19,5 см;null;null;null;натуральная кожа;null;null;Текстура;null;Декор для дома;Игры;Теплый брутализм;null;/images/imported-products/6a4375af70c8c_big.jpg;/images/imported-products/6a4375af053ff_big.jpg;null;null
KD-PD-8768;Игра крестики - нолики Текстура;Бежевый;null;Единый размер;9 000,00 ₽;22 500,00 ₽;18 см;18 см;null;null;null;натуральная кожа;null;null;Текстура;null;Декор для дома;Игры;Теплый брутализм;null;/images/imported-products/6a4374d911192_big.jpg;/images/imported-products/6a4374d88ca9d_big.jpg;null;null
KD-PD-8768;Игра крестики - нолики Текстура;Черный;null;Единый размер;9 000,00 ₽;22 500,00 ₽;18 см;18 см;null;null;null;натуральная кожа;null;null;Текстура;null;Декор для дома;Игры;Теплый брутализм;null;/images/imported-products/6a4374d62377f_big.jpg;/images/imported-products/6a4374d4b3831_big.jpg;null;null
KD-PD-8770;Игра шашки Текстура;Бежевый;null;Единый размер;13 000,00 ₽;32 500,00 ₽;43 см;43 см;null;null;null;натуральная кожа;null;null;Текстура;null;Декор для дома;Игры;Теплый брутализм;null;/images/imported-products/6a4374e02ae19_big.jpg;/images/imported-products/6a4374dfdefdc_big.jpg;null;null
KD-PD-8770;Игра шашки Текстура;черный;null;Единый размер;13 000,00 ₽;32 500,00 ₽;43 см;43 см;null;null;null;натуральная кожа;null;null;Текстура;null;Декор для дома;Игры;Теплый брутализм;null;/images/imported-products/6a4374dca3f1b_big.jpg;/images/imported-products/6a4374dc0d590_big.jpg;null;null
KD-PD-8765;Корзина Текстура;коричневый;null;25 см;8 840,00 ₽;22 100,00 ₽;25 см;10 см;null;null;null;натуральная кожа;null;null;Текстура;null;Декор для дома;Корзины;Теплый брутализм;null;/images/imported-products/689209814dad6_big.jpg;/images/imported-products/68b99b6eca2ab_big.jpg;null;null
KD-PD-8765;Корзина Текстура;черный;null;18 см;15 960,00 ₽;39 900,00 ₽;18 см;18 см;null;null;null;натуральная кожа;null;null;Текстура;null;Декор для дома;Корзины;Теплый брутализм;null;/images/imported-products/6a4374d0b98ff_big.jpg;/images/imported-products/6a4374cf781d5_big.jpg;null;null
KD-PD-8777;Плейсмат Текстура;Бежевый;null;30 см;3 960,00 ₽;9 900,00 ₽;null;null;null;null;null;натуральная кожа;null;null;Текстура;null;Столовый текстиль;Плейсматы;Теплый брутализм;null;/images/imported-products/6a4374fa6a51e_big.jpg;/images/imported-products/6a4374f92306f_big.jpg;null;null
KD-PD-8777;Плейсмат Текстура;коричневый;null;30 см;3 960,00 ₽;9 900,00 ₽;null;null;null;null;null;натуральная кожа;null;null;Текстура;null;Столовый текстиль;Плейсматы;Теплый брутализм;null;/images/imported-products/6a4374f54239a_big.jpg;/images/imported-products/6a4374f4002a5_big.jpg;null;null
KD-PD-8777;Плейсмат Текстура;черный;null;30 см;3 960,00 ₽;9 900,00 ₽;null;null;null;null;null;натуральная кожа;null;null;Текстура;null;Столовый текстиль;Плейсматы;Теплый брутализм;null;/images/imported-products/6a4374f158e23_big.jpg;/images/imported-products/6a4374f0beb87_big.jpg;null;null
KD-PD-9711;Поднос Текстура;черный;null;Единый размер;11 800,00 ₽;29 500,00 ₽;null;null;null;null;null;натуральная кожа;null;null;Текстура;null;Посуда и сервировка;Блюда и подача;Теплый брутализм;null;/images/imported-products/6a58e99971c7c_big.jpg;null;null;null
KD-PD-8776;Подставка под бокал Текстура;коричневый;null;9 см;596,00 ₽;1 490,00 ₽;null;9 см;null;null;null;натуральная кожа;null;null;Текстура;null;Посуда и сервировка;Блюда и подача;Теплый брутализм;null;/images/imported-products/6a4374ed2e7de_big.jpg;/images/imported-products/6a4374ec602a8_big.jpg;null;null
KD-PD-8758;Салфетница Текстура;коричневый;null;12х12 см;5 040,00 ₽;12 600,00 ₽;12 см;12 см;null;null;null;натуральная кожа;null;null;Текстура;null;Посуда и сервировка;Салфетницы;Теплый брутализм;null;/images/imported-products/6a4374bb5d537_big.jpg;/images/imported-products/6a4374bb235bf_big.jpg;null;null
KD-PD-8758;Салфетница Текстура;черный;null;12х12 см;5 040,00 ₽;12 600,00 ₽;12 см;12 см;null;null;null;натуральная кожа;null;null;Текстура;null;Посуда и сервировка;Салфетницы;Теплый брутализм;null;/images/imported-products/6a4374b928bc8_big.jpg;/images/imported-products/6a4374b8dde46_big.jpg;null;null
KD-PD-8967;Дорожка Многоцвет;Белый;null;50х180 см;2 495,00 ₽;4 990,00 ₽;50 см;180 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;/images/imported-products/69f218cd67e4a_big.jpg;/images/imported-products/68b028406ce99_big.jpg;null;null
KD-PD-8967;Дорожка Многоцвет;Белый;null;60х350 см;3 495,00 ₽;6 990,00 ₽;60 см;350 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;/images/imported-products/69f218cd67e4a_big.jpg;/images/imported-products/68b028406ce99_big.jpg;null;null
KD-PD-8967;Дорожка Многоцвет;Белый;null;50х250 см;2 495,00 ₽;4 990,00 ₽;50 см;250 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;/images/imported-products/69f218cd67e4a_big.jpg;/images/imported-products/68b028406ce99_big.jpg;null;null
KD-PD-8977;Конверт для столовых приборов Многоцветы;Белый;null;12х23 см;345,00 ₽;690,00 ₽;12 см;23 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;/images/imported-products/6a46789a02f21_big.jpg;/images/imported-products/68b5843370a11_big.jpg;null;null
KD-PD-7227;Скатерть Многоцвет;Белый;null;180х180 см;4 495,00 ₽;8 990,00 ₽;180 см;180 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;/images/imported-products/6a0abbf14fafb_big.jpg;/images/imported-products/6a0abbf175562_big.jpg;null;null
KD-PD-7227;Скатерть Многоцвет;Белый;null;180х250 см;4 495,00 ₽;8 990,00 ₽;180 см;250 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;/images/imported-products/6a0abbf14fafb_big.jpg;/images/imported-products/6a0abbf175562_big.jpg;null;null
