Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение
656,KD-PD-10786,Подушка декоративная Пушица,бежевый,45х45 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a06bfda73687_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/691b30c11c860_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f327e12e2a_big.jpg,45 см,45 см,,,,,,,Оренбургские узоры,,Пледы и подушки,Декоративные подушки,Красные линии,Зимняя сказка
657,KD-PD-10786,Подушка декоративная Пушица,розовый,45х45 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f329c43e35_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/691b2ed8ad532_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f329bdfebe_big.jpg,45 см,45 см,,,,,,,Оренбургские узоры,,Пледы и подушки,Декоративные подушки,Красные линии,Зимняя сказка
658,KD-PD-7947,Блюдо Петербург,белый,"36,5х25х2 см",https://kssafonova.github.io/kd/images/imported-products/687e4847be118_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a3a77d0d7e33_big.jpg,,,,,,,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,Блюда и подача,Зеленый салон,
659,KD-PD-8312,Дорожка Петербург,белый,165х45 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cb89b24_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68ef707de05e1_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cc7016f_big.jpg,165 см,45 см,,,,сатин,100% сатин,,Петербург,,Столовый текстиль,Столовый текстиль,Зеленый салон,
660,KD-PD-7941,Кружка Петербург,белый,,https://kssafonova.github.io/kd/images/imported-products/68ee0faf95812_big.png,https://kssafonova.github.io/kd/images/imported-products/6a394b4a57a59_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a394b4fb19ed_big.jpg,,,450 мл,,,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Зеленый салон,
661,KD-PD-7942,Салатник Петербург,белый,,https://kssafonova.github.io/kd/images/imported-products/6a3a860480fbd_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a3a860210338_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a3a8604bf092_big.jpg,,,,,Салатник 1 шт,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Зеленый салон,
,KD-PD-7942,Салатник Петербург,белый,"20х20х6,9 см",https://kssafonova.github.io/kd/images/imported-products/6a3a860480fbd_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a3a860210338_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a3a8604bf092_big.jpg,,,,,Салатник 1 шт,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Зеленый салон,
662,KD-PD-7242,Салфетки Петербург,белый,45х45 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2194fe62aa_big.jpg,https://kssafonova.github.io/kd/images/imported-products/68f09ca5731f1_big.jpg,,45 см,45 см,,,,сатин,100% сатин,,Петербург,,Столовый текстиль,Столовый текстиль,Зеленый салон,
663,KD-PD-7938,Сахарница Петербург,белый,,https://kssafonova.github.io/kd/images/imported-products/6a394b88d86f5_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a394b886643a_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a394b89200e7_big.jpg,,,400 мл,,Сахарница 1 шт,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Чайники, молочники и сахарницы",Зеленый салон,
664,KD-PD-8256,Скатерть Петербург,белый,180х350 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d061811_big.jpg,https://kssafonova.github.io/kd/images/imported-products/69f21bfa598aa_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d14b4d9_big.jpg,180 см,350 см,,,,сатин,100% сатин,,Петербург,,Столовый текстиль,Столовый текстиль,Зеленый салон,
