Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение
667,KD-PD-7940,Чайная пара Петербург,белый,,https://kssafonova.github.io/kd/images/imported-products/6a394ba34f611_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a394ba3081b0_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a394ba3a1f76_big.jpg,,,260 мл,,"Кружка 1 шт, блюдце 1 шт",костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Зеленый салон,
668,KD-PD-7937,Чайник Петербург,белый,,https://kssafonova.github.io/kd/images/imported-products/6a394f8eb12f9_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a394f8a58a79_big.jpg,https://kssafonova.github.io/kd/images/imported-products/6a394f8f0440d_big.jpg,,,1100 мл,,Чайник 1 шт,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Чайники, молочники и сахарницы",Зеленый салон,
722,KD-PD-9713,Обложка для ежедневника Текстура,коричневый,15х21 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43759554a63_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437596a2438_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375948fca8_big.jpg,15 см,21 см,,,,натуральная кожа,,,Текстура,,Декор для дома,Канцтовары,Теплый брутализм,
706,KD-PD-9718,Игра домино Текстура,бежевый,"19,5х19,5 см",https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375aa6eaed_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375ab2355c_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375ac308d6_big.jpg,"19,5 см","19,5 см",,,,натуральная кожа,,,Текстура,,Декор для дома,Игры,Теплый брутализм,
707,KD-PD-9718,Игра домино Текстура,черный,"19,5х19,5 см",https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375af70c8c_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375af053ff_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375aea342c_big.jpg,"19,5 см","19,5 см",,,,натуральная кожа,,,Текстура,,Декор для дома,Игры,Теплый брутализм,
708,KD-PD-8768,Игра крестики - нолики Текстура,черный,18х18 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d62377f_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d4b3831_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d66f135_big.jpg,18 см,18 см,,,,натуральная кожа,,,Текстура,,Декор для дома,Игры,Теплый брутализм,
709,KD-PD-8768,Игра крестики - нолики Текстура,бежевый,18х18 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d911192_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d88ca9d_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374da090e0_big.jpg,18 см,18 см,,,,натуральная кожа,,,Текстура,,Декор для дома,Игры,Теплый брутализм,
710,KD-PD-8770,Игра шашки Текстура,черный,43х43 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374dca3f1b_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374dc0d590_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374dc5977b_big.jpg,43 см,43 см,,,,натуральная кожа,,,Текстура,,Декор для дома,Игры,Теплый брутализм,
711,KD-PD-8770,Игра шашки Текстура,бежевый,43х43 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374e02ae19_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374dfdefdc_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374e0c1c13_big.jpg,43 см,43 см,,,,натуральная кожа,,,Текстура,,Декор для дома,Игры,Теплый брутализм,
715,KD-PD-8765,Корзина Текстура,коричневый,25х10х5 см,https://kultura-doma.ru/public/src/images/gallery/catalog/689209814dad6_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b99b6eca2ab_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b99b76b5837_big.jpg,25 см,10 см,,,,натуральная кожа,,,Текстура,,Декор для дома,Корзины,Теплый брутализм,
716,KD-PD-8765,Корзина Текстура,черный,18х18х43 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d0b98ff_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374cf781d5_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d102510_big.jpg,18 см,18 см,,,,натуральная кожа,,,Текстура,,Декор для дома,Корзины,Теплый брутализм,
723,KD-PD-8777,Плейсмат Текстура,черный,30 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f158e23_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f0beb87_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f1105ec_big.jpg,,,,,,натуральная кожа,,,Текстура,,Столовый текстиль,Плейсматы,Теплый брутализм,
724,KD-PD-8777,Плейсмат Текстура,коричневый,30 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f54239a_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f4002a5_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f616f88_big.jpg,,,,,,натуральная кожа,,,Текстура,,Столовый текстиль,Плейсматы,Теплый брутализм,
725,KD-PD-8777,Плейсмат Текстура,бежевый,30 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374fa6a51e_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f92306f_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374fb39b0a_big.jpg,,,,,,натуральная кожа,,,Текстура,,Столовый текстиль,Плейсматы,Теплый брутализм,
726,KD-PD-9711,Поднос Текстура,черный,,https://kultura-doma.ru/public/src/images/gallery/catalog/6a58e99971c7c_big.jpg,,,,,,,,натуральная кожа,,,Текстура,,Посуда и сервировка,Блюда и подача,Теплый брутализм,
