Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в скролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Offer ID,URL товара,Тип товара,Источник
639,KD-PD-7182,Свеча Уютный вечер,белый,null,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437444ef33a_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69e0d79e2b078_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437444a13dd_big.jpg,null,null,230 мл,null,null,стекло,100% стекло,null,null,Уютный вечер,114,https://kultura-doma.ru/product/svecha-uyutnyy-vecher,candle,master_catalog
640,KD-PD-7410,Свеча Южный сад,черный,null,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374644bec9_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69e0dac21ff66_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437463f0e22_big.jpg,null,null,230 мл,null,null,стекло,100% стекло,null,null,Южный сад,123,https://kultura-doma.ru/product/svecha-yuzhnyy-sad,candle,master_catalog
641,KD-PD-8904,Сервиз чайный Бутон,белый,null,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b68b685b_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b65d5ac8_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b66298db_big.jpg,null,null,null,null,null,фарфор,100% фарфор,null,null,null,307,https://kultura-doma.ru/product/serviz-chaynyy-buton,other,master_catalog
642,KD-PD-8905,Сервиз чайный Бутон,белый,null,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b60425df_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b5f8b425_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b5e7d7d5_big.jpg,null,null,null,null,null,фарфор,100% фарфор,null,null,null,308,https://kultura-doma.ru/product/serviz-chaynyy-buton-308,other,master_catalog
643,KD-PD-8902,Сервиз чайный Катюша,белый,null,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b706eea1_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b6e1c767_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b6f92a04_big.jpg,null,null,null,null,null,фарфор,100% фарфор,null,null,null,305,https://kultura-doma.ru/product/serviz-chaynyy-katyusha,other,master_catalog
644,KD-PD-8903,Сервиз чайный Катюша,белый,null,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b59a18ef_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b580a7ff_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b583ff30_big.jpg,null,null,null,null,null,фарфор,100% фарфор,null,null,null,306,https://kultura-doma.ru/product/serviz-chaynyy-katyusha-306,other,master_catalog
645,KD-PD-9371,Скатерть Белый пион,белый,180х180 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014fda5dca_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f0d0133abdf_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014ff04062_big.jpg,180 см,180 см,null,null,null,лён,100% лен,null,null,null,1745,https://kultura-doma.ru/product/skatert-belyy-pion,tablecloth,master_catalog
646,KD-PD-9370,Скатерть Белый пион: 180х250 см,белый,180х250 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014fda5dca_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f0d0133abdf_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014ff04062_big.jpg,180 см,250 см,null,null,null,лён,100% лен,null,null,null,1745-2132,https://kultura-doma.ru/product/skatert-belyy-pion-size-180h250-sm,tablecloth,master_catalog
647,KD-PD-9371,Скатерть Белый пион: 180х350 см,белый,180х350 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014fda5dca_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f0d0133abdf_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014ff04062_big.jpg,180 см,350 см,null,null,null,лён,100% лен,null,null,null,1745-2131,https://kultura-doma.ru/product/skatert-belyy-pion-size-180h350-sm,tablecloth,master_catalog
648,KD-PD-11190,Скатерть Венец,белый,145x145 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69a97ebdd00bb_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69a97ebe7e590_big.jpg,null,145 см,145 см,null,null,null,лён,100% лен,null,null,null,1652,https://kultura-doma.ru/product/skatert-venec,tablecloth,master_catalog
