ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула;Фото 1;Фото 2;Фото 3
592;KD-PD-8967;Дорожка Многоцвет;белый;;50х180 см;2 495 ₽;4 990 ₽;50 см;180 см;;;;Хлопок;100% Хлопок;;Многоцвет;;Столовый текстиль;Столовый текстиль;Зеленый салон;;;https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cd67e4a_big.jpg;https://kssafonova.github.io/kd/images/imported-products/68b028406ce99_big.jpg;
592;KD-PD-8967;Дорожка Многоцвет;белый;;60х350 см;3 495 ₽;6 990 ₽;60 см;350 см;;;;Хлопок;100% Хлопок;;Многоцвет;;Столовый текстиль;Столовый текстиль;Зеленый салон;;;https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cd67e4a_big.jpg;https://kssafonova.github.io/kd/images/imported-products/68b028406ce99_big.jpg;
592;KD-PD-8967;Дорожка Многоцвет;белый;;50х250 см;2 495 ₽;4 990 ₽;50 см;250 см;;;;Хлопок;100% Хлопок;;Многоцвет;;Столовый текстиль;Столовый текстиль;Зеленый салон;;;https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cd67e4a_big.jpg;https://kssafonova.github.io/kd/images/imported-products/68b028406ce99_big.jpg;
593;KD-PD-8977;Конверт для столовых приборов Многоцветы;белый;;12х23 см;345 ₽;690 ₽;12 см;23 см;;;;Хлопок;100% Хлопок;;Многоцвет;;Столовый текстиль;Столовый текстиль;Зеленый салон;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a46789a02f21_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/68b5843370a11_big.jpg;
597;KD-PD-7227;Скатерть Многоцвет;белый;;180х180 см;4 495 ₽;8 990 ₽;180 см;180 см;;;;Хлопок;100% Хлопок;;Многоцвет;;Столовый текстиль;Столовый текстиль;Зеленый салон;;;https://kssafonova.github.io/kd/images/imported-products/6a0abbf14fafb_big.jpg;https://kssafonova.github.io/kd/images/imported-products/6a0abbf175562_big.jpg;https://kssafonova.github.io/kd/images/imported-products/6a0abbf162bb6_big.jpg
597;KD-PD-7227;Скатерть Многоцвет;белый;;180х250 см;4 495 ₽;8 990 ₽;180 см;250 см;;;;Хлопок;100% Хлопок;;Многоцвет;;Столовый текстиль;Столовый текстиль;Зеленый салон;;;https://kssafonova.github.io/kd/images/imported-products/6a0abbf14fafb_big.jpg;https://kssafonova.github.io/kd/images/imported-products/6a0abbf175562_big.jpg;https://kssafonova.github.io/kd/images/imported-products/6a0abbf162bb6_big.jpg
597;KD-PD-7227;Скатерть Многоцвет;белый;;180х350 см;4 495 ₽;8 990 ₽;180 см;350 см;;;;Хлопок;100% Хлопок;;Многоцвет;;Столовый текстиль;Столовый текстиль;Зеленый салон;;;https://kssafonova.github.io/kd/images/imported-products/6a0abbf14fafb_big.jpg;https://kssafonova.github.io/kd/images/imported-products/6a0abbf175562_big.jpg;https://kssafonova.github.io/kd/images/imported-products/6a0abbf162bb6_big.jpg
596;KD-PD-9976;Свеча Многоцветы;белый;;25,5 см;792 ₽;990 ₽;25,5 см;;;;;соевый воск;;;Многоцвет;;Декор для дома;Свечи и диффузоры;Зеленый салон;;;https://kssafonova.github.io/kd/images/imported-products/69df5f57970e0_big.jpg;https://kssafonova.github.io/kd/images/imported-products/69b95afad6980_big.jpg;
445;KD-PD-8242;Набор столовых приборов Александр;серебряный;;;32 900 ₽;;;;;;;нержавеющая сталь 18/10;;;Столовые приборы;;Посуда и сервировка;Столовые приборы;Зеленый салон, Красные линии;Теплый брутализм;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a57511b9cbbf_big.jpg;;
215;KD-PD-8243;Набор столовых приборов Петр;Серебряный;;Единый размер;20 900 ₽;;;;;;;Сталь;Нержавеющая сталь 18/10;;Столовые приборы;;Посуда и сервировка;Столовые приборы;Зеленый салон Красные линии;Теплый брутализм;;6a3d1d63d385c_big.jpg;;
