ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула;Фото 1;Фото 2;Фото 3
815;KD-PD-10915;Салатник Весенний сад;белый;;300 мл;3 672 ₽;4 590 ₽;;;300 мл;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;;Зеленый салон;;6a85b2d617474_big.jpg;;
816;KD-PD-10924;Сахарница Весенний сад;белый;;300 мл;3 032 ₽;3 790 ₽;;;300 мл;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Чайники, молочники и сахарницы;Зеленый салон;;;6a85b6d73dce4_big.jpg;;
817;KD-PD-10927;Солонка Весенний сад;белый;;8 см;1 032 ₽;1 290 ₽;;;70 мл;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Блюда и подача;Зеленый салон;;;6a85b6dad216a_big.jpg;;
818;KD-PD-10926;Соусник Весенний сад;белый;;150 мл;2 232 ₽;2 790 ₽;;;150 мл;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Блюда и подача;Зеленый салон;;;6a85b6df16492_big.jpg;;
819;KD-PD-10918;Тарелка десертная Весенний сад;белый;;19 см;1 992 ₽;2 490 ₽;;;;19 см;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Тарелки;;Зеленый салон;;6a85b7dadf9ab_big.jpg;;
820;KD-PD-10919;Тарелка закусочная Весенний сад;белый;;23 см;2 232 ₽;2 790 ₽;;;;23 см;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Тарелки;;Зеленый салон;;6a85baa4bb145_big.jpg;;
821;KD-PD-10920;Тарелка обеденная Весенний сад;белый;;27 см;2 632 ₽;3 290 ₽;;;;27 см;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Тарелки;Зеленый салон;;;6a85bcecc09c8_big.jpg;;
822;KD-PD-10921;Тарелка подстановочная Весенний сад;белый;;30 см;4 392 ₽;5 490 ₽;;;;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Тарелки;Зеленый салон;;;6a85bcfa2f399_big.jpg;;
823;KD-PD-10922;Чайная пара Весенний сад;белый;;250 мл;2 792 ₽;3 490 ₽;;;250 мл;;Кружка 1 шт\nБлюдце 1 шт;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Кружки, чайные и кофейные пары;;Зеленый салон;;6a85bf64da8d2_big.jpg;;
824;KD-PD-10923;Чайник Весенний сад;белый;;1300 мл;6 392 ₽;7 990 ₽;;;1300 мл;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Чайники, молочники и сахарницы;Зеленый салон;;;6a85bf6fe9fa3_big.jpg;;
845;KD-PD-10944;Блюдо Дияф;Белый / Голубой ;;32 см;4 194 ₽;6 990 ₽;;;;;;фарфор;100% фарфор;;Дияф;;Посуда и сервировка;Блюда и подача;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/698deddc79da9_big.JPG;;
846;KD-PD-11006;Дорожка Дияф;Белый / Золотой ;;50х120 см;2 694 ₽;4 490 ₽;50 см;120 см;;;;Хлопок;100% Хлопок;;Дияф;;Столовый текстиль;Столовый текстиль;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/69f218d992ea2_big.jpg;;
847;KD-PD-10945;Пиала Дияф;Белый / Голубой ;;370 мл;1 314 ₽;2 190 ₽;;;370 мл;;;фарфор;100% фарфор;;Дияф;;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/698decfd8e311_big.jpg;;
848;KD-PD-10590;Плейсмат Дияф;Белый / Золотой ;;43х43 см;1 554 ₽;2 590 ₽;43 см;43 см;;;;Хлопок;100% Хлопок;;Дияф;;Столовый текстиль;Столовый текстиль;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/698deb44c83a5_big.jpg;;
849;KD-PD-10591;Салфетка Дияф;Белый / Золотой ;;45х45 см;1 194 ₽;1 990 ₽;45 см;45 см;;;;Хлопок;100% Хлопок;;Дияф;;Столовый текстиль;Столовый текстиль;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a428351b8c77_big.jpg;;
850;KD-PD-10950;Сахарница Дияф;Белый / Голубой ;;300 мл;2 094 ₽;3 490 ₽;;;300 мл;;;фарфор;100% фарфор;;Дияф;;Посуда и сервировка;Чайники, молочники и сахарницы;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/698ded3fbd8f9_big.jpg;;
851;KD-PD-10459;Скатерть Дияф;Белый / Золотой ;;180х250 см;13 740 ₽;22 900 ₽;180 см;250 см;;;;Хлопок;100% Хлопок;;Дияф;;Столовый текстиль;Столовый текстиль;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a5756979a0b7_big.jpg;;
851;KD-PD-10459;Скатерть Дияф;Белый / Золотой ;;180х350 см;13 740 ₽;22 900 ₽;180 см;350 см;;;;Хлопок;100% Хлопок;;Дияф;;Столовый текстиль;Столовый текстиль;Пламя морских глубин ;;;;;
852;KD-PD-10946;Тарелка десертная Дияф;Белый / Голубой ;;21 см;1 314 ₽;2 190 ₽;;;;21 см;;фарфор;100% фарфор;;Дияф;;Посуда и сервировка;Тарелки;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/698def311a152_big.jpg;;
853;KD-PD-10947;Тарелка закусочная Дияф;Белый / Голубой ;;24 см;1 914 ₽;3 190 ₽;;;;24 см;;фарфор;100% фарфор;;Дияф;;Посуда и сервировка;Тарелки;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/698dee47b2fe4_big.jpg;;
854;KD-PD-10948;Тарелка обеденная Дияф;Белый / Голубой ;;27 см;2 394 ₽;3 990 ₽;;;;27 см;;фарфор;100% фарфор;;Дияф;;Посуда и сервировка;Тарелки;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/69957ba4317d2_big.jpg;;
855;KD-PD-10951;Чайная пара Дияф;Белый / Голубой ;;250 мл;2 394 ₽;3 990 ₽;;;250 мл;;Кружка 1 шт\nБлюдце 1 шт;фарфор;100% фарфор;;Дияф;;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/698dee8e5df80_big.jpg;;
856;KD-PD-10949;Чайник заварочный Дияф;Белый / Голубой ;;650 мл;2 994 ₽;4 990 ₽;;;650 мл;;;фарфор;100% фарфор;;Дияф;;Посуда и сервировка;Чайники, молочники и сахарницы;Пламя морских глубин ;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b019545c_big.jpg;;
858;KD-PD-10287;Менажница Дрёмица;коричневый;;30 см;9 900 ₽;;17 см;30 см;;;;Дерево / Металл ;дуб;;Дрёмица;;Посуда и сервировка;Блюда и подача;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;;https://kultura-doma.ru/public/src/images/gallery/catalog/68da38fa3c974_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/68f8dd754708a_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/69f06b4dc03fa_big.jpg
859;KD-PD-10127;Поднос Дрёмица;коричневый;;480 см;49 900 ₽;;480 см;310 см;;;;Дерево / Металл ;Американский орех;;Дрёмица;;Декор для дома;Подносы;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;;https://kultura-doma.ru/public/src/images/gallery/catalog/68da59cb6d26a_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/68fa41494a61c_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/68da599ca6ac0_big.jpg
859;KD-PD-10127;Поднос Дрёмица;коричневый;;280 см;39 900 ₽;;280 см;280 см;;;;Дерево / Металл ;Американский орех ;;Дрёмица;;Декор для дома;Подносы;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;;;;
860;KD-PD-10283;Подставка для салфеток Дрёмица;коричневый;;Единый размер;8 900 ₽;;;;;;;Дерево / Металл ;Дуб ;;Дрёмица;;Декор для дома;Декор для дома;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;;https://kultura-doma.ru/public/src/images/gallery/catalog/68da390e4614a_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/68ecc502bdb94_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f81704d30a_big.jpg
