ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула;Фото 1;Фото 2;Фото 3
779;KD-PD-10787;Подушка декоративная Пушица;голубой;;45х45 см;9 900 ₽;;45 см;45 см;;;;;;;Оренбургские узоры;;Пледы и подушки;Декоративные подушки;Красные линии;Зимняя сказка;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f322580c1f_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/691b2effe84ad_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f322538408_big.jpg
780;KD-PD-10788;Подушка декоративная Пушица;бежевый;;45х45 см;9 900 ₽;;45 см;45 см;;;;;;;;;;;;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a06bfda73687_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/691b30c11c860_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f327e12e2a_big.jpg
781;KD-PD-10789;Подушка декоративная Пушица;розовый;;45х45 см;9 900 ₽;;45 см;45 см;;;;;;;;;;;;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f329c43e35_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/691b2ed8ad532_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f329bdfebe_big.jpg
809;KD-PD-10913;Блюдо Весенний сад;белый;;32 см;5 592 ₽;6 990 ₽;;;;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Блюда и подача;;Зеленый салон;;6a85ae21c78e0_big.jpg;;
810;KD-PD-10911;Блюдо Весенний сад;белый;;24х16 см;4 472 ₽;5 590 ₽;;;;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Блюда и подача;;Зеленый салон;;6a85ae21c78e0_big.jpg;;
810;KD-PD-10911;Блюдо Весенний сад;белый;;36х25 см;6 392 ₽;7 990 ₽;;;;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Блюда и подача;;Зеленый салон;;6a85ae21c78e0_big.jpg;;
811;KD-PD-10925;Кофейная пара Весенний сад;белый;;75 мл;2 072 ₽;2 590 ₽;;;75 мл;;Кружка 1 шт\nБлюдце 1 шт;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Кружки, чайные и кофейные пары;Зеленый салон;;;6a85afc487304_big.jpg;;
812;KD-PD-11141;Набор свечей Весенний сад;зеленый;;45 см;2 990 ₽;;45 см;;;;;парафин;100% парафин;;Весенний сад;;Декор для дома;Свечи и диффузоры;Зеленый салон;;;69df9867a661d_big.jpg;;
813;KD-PD-10928;Перечница Весенний сад;белый;;8 см;1 032 ₽;1 290 ₽;;;70 мл;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Блюда и подача;Зеленый салон;;;6a85b2ccb09ab_big.jpg;;
814;KD-PD-10917;Розетка для варенья Весенний сад;белый;;30 мл;1 112 ₽;1 390 ₽;;;30 мл;;;фарфор;100% фарфор;;Весенний сад;;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;;Зеленый салон;;6a85b2d45cbdc_big.jpg;;
