ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула;Фото 1;Фото 2;Фото 3
25;KD-PD-11438;Чайник Эхо;Белый;;1800 мл;6 593 ₽;9 990 ₽;;;1800 мл;;;костяной фарфор;100% костяной фарфор;;Эхо;;Посуда и сервировка;Чайники, молочники и сахарницы;Красные линии;Зеленый салон;;6a85bf6840c27_big.jpg;;
26;KD-PD-11438;Чайная пара Эхо;Белый;;250 мл ;2 233 ₽;3 190 ₽;;;250 мл;18 см;Кружка 1 шт\nБлюдце 1 шт;костяной фарфор;100% костяной фарфор;;Эхо;;Посуда и сервировка;Кружки, чайные и кофейные пары;Красные линии;Зеленый салон;;6a85bf55372ef_big.jpg;;
27;KD-PD-114381;Тарелка глубокая Эхо;Белый;;350 мл ;3 353 ₽;4 790 ₽;;;350 мл ;;;костяной фарфор;100% костяной фарфор;;Эхо;;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Красные линии;Зеленый салон;;6a85b7d65b6f3_big.jpg;;
28;KD-PD-114382;Тарелка закусочная Эхо;Белый;;20 см;2 233 ₽;3 190 ₽;;;;20 см;;костяной фарфор;100% костяной фарфор;;Эхо;;Посуда и сервировка;Тарелки;Красные линии;Зеленый салон;;6a85bab0339ea_big.jpg;;
29;KD-PD-114383;Тарелка обеденная Эхо;Белый;;25 см;2 793 ₽;3 990 ₽;;;;30 см;;костяной фарфор;100% костяной фарфор;;Эхо;;Посуда и сервировка;Тарелки;Красные линии;Зеленый салон;;6a06d76222d16_big.jpg;;
30;KD-PD-114384;Тарелка десертная Эхо;Белый;;18 см;1 673 ₽;2 390 ₽;;;;18 см;;костяной фарфор;100% костяной фарфор;;Эхо;;Посуда и сервировка;Тарелки;Красные линии;Зеленый салон;;6a85ba923b6ef_big.jpg;;
31;KD-PD-114385;Супница Эхо;Белый;;650 мл ;7 273 ₽;10 390 ₽;;;650 мл ;;;фарфор;100% костяной фарфор;;Эхо;;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Красные линии;Зеленый салон;;6a85b6e1b4b86_big.jpg;;
32;KD-PD-10288;Ваза Айсберг;Белый;;15 см;14 900 ₽;;;;;;;фарфор;100% фарфор;;;;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;;;https://kssafonova.github.io/kd/images/imported-products/6a0d5b3b35c53_big.jpg;https://kssafonova.github.io/kd/images/imported-products/68ecbba698a58_big.jpg;
32;KD-PD-10288;Ваза Айсберг;Белый;;18 см;16 900 ₽;;;;;;;фарфор;100% фарфор;;;;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;;;https://kssafonova.github.io/kd/images/imported-products/6a0d5b3b35c53_big.jpg;https://kssafonova.github.io/kd/images/imported-products/68ecbba698a58_big.jpg;
33;KD-PD-11020;Ваза Паскаль;Синий;;36 см;24 900 ₽;;;;;;;Стекло;100% стекло;;;;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;;;https://kssafonova.github.io/kd/images/imported-products/6a0d5b3d445c5_big.jpg;;
331;KD-PD-11020;Ваза Паскаль;Желтый;;36 см;24 900 ₽;;;;;;;Стекло;100% стекло;;;;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;;;6a0d5b4123311_big.jpg;;
36;KD-PD-10414;Дорожка Мокоши;Белый;;50х180 см;14 900 ₽;;50 см;180 см;;;;лён;100% лен;Вышивка\nКисточки;Мокоши;;Столовый текстиль;Столовый текстиль;Красные линии;;;6a84708e939ec_big.jpg;;
37;KD-PD-10932;Кофейная пара Мокоши;Белый;;75 мл;2 990 ₽;;;;75 мл;;Кружка 1 шт\nБлюдце 1 шт;фарфор;100% фарфор;;Мокоши;;Посуда и сервировка;Кружки, чайные и кофейные пары;Красные линии;;;https://kssafonova.github.io/kd/images/imported-products/69441f32012f2_big.jpg;;
38;KD-PD-10587;Плейсмат Мокоши;Белый;;40х50 см;1 590 ₽;;40 см;50 см;;;;Хлопок;100% Хлопок;Вышивка;Мокоши;;Столовый текстиль;Столовый текстиль;Красные линии;;;6a84709a367e8_big.jpg;;
39;KD-PD-10567;Салфетка Мокоши;Белый;;45х45 см;1 990 ₽;;45 см;45 см;;;;Хлопок;100% Хлопок;Вышивка;Мокоши;;Столовый текстиль;Столовый текстиль;Красные линии;;;6a8470a8f0e87_big.jpg;;
40;KD-PD-10450;Скатерть Мокоши;Белый;;180x180 см;19 900 ₽;;180 см;180 см;;;;Хлопок;100% Хлопок;Вышивка;Мокоши;;Столовый текстиль;Столовый текстиль;Красные линии;;;6a8471f1dc0ec_big.jpg;;
40;KD-PD-10450;Скатерть Мокоши;Белый;;180x250 см;20 900 ₽;;180 см;250 см;;;;Хлопок;100% Хлопок;Вышивка;Мокоши;;Столовый текстиль;Столовый текстиль;Красные линии;;;6a8471f1dc0ec_big.jpg;;
41;KD-PD-10400;Тарелка десертная Мокоши;Красный;;19 см;2 990 ₽;;;;;19 см;;Фарфор;100% фарфор;;Мокоши;;Посуда и сервировка;Тарелки;Красные линии;;;https://kssafonova.github.io/kd/images/imported-products/694150e829683_big.jpg;;
42;KD-PD-10930;Чайная пара Мокоши;Красный;;250 мл;4 590 ₽;;;;250 мл;19 см;Кружка 1 шт\nБлюдце 1 шт;Фарфор;100% фарфор;;Мокоши;;Посуда и сервировка;Кружки, чайные и кофейные пары;Красные линии;;;https://kssafonova.github.io/kd/images/imported-products/694151510f837_big.jpg;;
43;KD-PD-8985;Скатерть Весна;Белый;;180x250 см;9 900 ₽;;180 см;250 см;;;;Хлопок;100% Хлопок;;Весна;;Столовый текстиль;Столовый текстиль;;Зеленый салон;;6a5756073f700_big.jpg;68b040117f548_big.jpg;
43;KD-PD-8985;Скатерть Весна;белый;;180x350 см;9 900 ₽;;180 см;350 см;;;;Хлопок;100% Хлопок;;Весна;;Столовый текстиль;Столовый текстиль;Зеленый салон;;;https://kssafonova.github.io/kd/images/imported-products/6a5756073f700_big.jpg;;https://kssafonova.github.io/kd/images/imported-products/68b040117f548_big.jpg
44;KD-PD-8982;Плейсмат Весна;Зеленый;;45х45 см;990 ₽;;45 см;65 см;;;;Хлопок;100% Хлопок;;Весна;;Столовый текстиль;Столовый текстиль;;Зеленый салон;;6a84702c37bb4_big.jpg;;
44;KD-PD-8982;Плейсмат Весна;Зеленый;;45х65 см;990 ₽;;45 см;65 см;;;;Хлопок;100% Хлопок;;Весна;;Столовый текстиль;Столовый текстиль;;Зеленый салон;;6a84702c37bb4_big.jpg;;
448982;KD-PD-8982;Плейсмат Весна;Белый;;45х45 см;990 ₽;;45 см;65 см;;;;Хлопок;100% Хлопок;;Весна;;Столовый текстиль;Столовый текстиль;;Зеленый салон;;6a84701c28299_big.jpg;;
448982;KD-PD-8982;Плейсмат Весна;Белый;;45х65 см;990 ₽;;45 см;65 см;;;;Хлопок;100% Хлопок;;Весна;;Столовый текстиль;Столовый текстиль;;Зеленый салон;;6a84701c28299_big.jpg;;
443;KD-PD-11616;Плейсмат Алая нить;белый;;40х40 см;1 194 ₽;1 990 ₽;40 см;40 см;;;;Хлопок;100% Хлопок;;Алая нить;;Столовый текстиль;Столовый текстиль;;Красные линии;;6a8319ebd8c65_big.jpg;;
444;KD-PD-11574;Чайная пара Алая нить;белый;;320 мл;5 990 ₽;;;;320 мл;;Кружка 1 шт Блюдце 1 шт;Фарфор;100% Фарфор;;Алая нить;;Посуда и сервировка;Кружки, чайные и кофейные пары;;Красные линии;;6a85be4d14dd5_big.jpg;;
603;KD-PD-11033;Подушка декоративная Алатырь;бежевый;;40х40 см;5 990 ₽;;40 см;40 см;;;;;;;Мокоши;;Пледы и подушки;Декоративные подушки;Красные линии;;;69e233fdc6992_big.jpg;;
604;KD-PD-11034;Подушка декоративная Мокоши;бежевый;;40х40 см;5 990 ₽;;40 см;40 см;;;;;;;Мокоши;;Пледы и подушки;Декоративные подушки;Красные линии;;;69e234045d0a5_big.jpg;;
653;KD-PD-10841;Плед Пушица;экрю;;150х200 см;29 900 ₽;;;;;;;;;;Оренбургские узоры;;Пледы и подушки;Плед;;Зимняя сказка Теплый брутализм;;69e0fef714064_big.jpg;;
650;KD-PD-10841;Плед Пушица;бежевый;;150х200 см;29 900 ₽;;;;;;;;;;Оренбургские узоры;;Пледы и подушки;Плед;Красные линии Пламя морских глубин;Зимняя сказка Теплый брутализм;;690caa6e3be4a_big.jpg;;
651;KD-PD-10841;Плед Пушица;голубой;;150х200 см;29 900 ₽;;;;;;;;;;Оренбургские узоры;;Пледы и подушки;Плед;Красные линии Пламя морских глубин;Зимняя сказка Теплый брутализм;;690ca7e8a1da2_big.jpg;;
