size_id;size_key;size_label;slug;size_type;dimension_1;dimension_2;dimension_3;unit;bedding_type;product_count;variant_count
siz_6c0bc92bb9;volume:250;250 мл;250-ml;volume;250.0;;;ml;;10;10
siz_33debb8449;volume:260;260 мл;260-ml;volume;260.0;;;ml;;1;1
siz_1da3d27caf;volume:300;300 мл;300-ml;volume;300.0;;;ml;;4;4
siz_7646237670;volume:350;350 мл;350-ml;volume;350.0;;;ml;;5;5
siz_3f90b1ef30;volume:370;370 мл;370-ml;volume;370.0;;;ml;;1;1
siz_3e53916ec5;volume:450;450 мл;450-ml;volume;450.0;;;ml;;4;4
siz_92d00adbcb;volume:650;650 мл;650-ml;volume;650.0;;;ml;;2;2
siz_fedf66bb17;volume:990;990 мл;990-ml;volume;990.0;;;ml;;2;2
siz_3c782d85f7;volume:1100;1100 мл;1100-ml;volume;1100.0;;;ml;;1;1
siz_941d591466;volume:1300;1300 мл;1300-ml;volume;1300.0;;;ml;;1;1
siz_03210f0271;volume:1800;1800 мл;1800-ml;volume;1800.0;;;ml;;1;1
