variant_id;product_id;characteristic_code;value;normalized_value;numeric_value
KD-PD-1023__v003;KD-PD-1023;price;5990;5990;5990
KD-PD-1023__v003;KD-PD-1023;height;60 см;60 см;
KD-PD-1023__v003;KD-PD-1023;width;60 см;60 см;
KD-PD-1023__v003;KD-PD-1023;composition;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;внешняя часть: 100%×лопок наполнитель: 100% пу×;
KD-PD-1023__v003;KD-PD-1023;details;Кружево;кружево;
KD-PD-1023__v003;KD-PD-1023;color;Молочный;молочный;
KD-PD-1026__v001;KD-PD-1026;category;Пледы и подушки;пледы и подушки;
KD-PD-1026__v001;KD-PD-1026;subcategory;Плед;плед;
KD-PD-1026__v001;KD-PD-1026;capsule;Лунная сказка;лунная сказка;
KD-PD-1026__v001;KD-PD-1026;material;Хлопок;×лопок;
KD-PD-1026__v001;KD-PD-1026;size;200×220 см;200×220 см;
KD-PD-1026__v001;KD-PD-1026;price;12990;12990;12990
KD-PD-1026__v001;KD-PD-1026;height;200 см;200 см;
KD-PD-1026__v001;KD-PD-1026;width;220 см;220 см;
KD-PD-1026__v001;KD-PD-1026;composition;70% хлопок\n30% лен;70%×лопок\n30% лен;
KD-PD-1026__v001;KD-PD-1026;details;Кружево;кружево;
KD-PD-1026__v001;KD-PD-1026;color;Синий;синий;
KD-PD-1026__v002;KD-PD-1026;category;Пледы и подушки;пледы и подушки;
KD-PD-1026__v002;KD-PD-1026;subcategory;Плед;плед;
KD-PD-1026__v002;KD-PD-1026;capsule;Лунная сказка;лунная сказка;
KD-PD-1026__v002;KD-PD-1026;material;Хлопок;×лопок;
KD-PD-1026__v002;KD-PD-1026;size;200×220 см;200×220 см;
KD-PD-1026__v002;KD-PD-1026;price;12990;12990;12990
KD-PD-1026__v002;KD-PD-1026;height;200 см;200 см;
KD-PD-1026__v002;KD-PD-1026;width;220 см;220 см;
