ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула.1;Фото 1;Фото 2;Фото 3
779;KD-PD-10787;Подушка декоративная Пушица;голубой;null;45х45 см;9 900 ₽;null;45 см;45 см;null;null;null;null;null;null;Оренбургские узоры;null;Пледы и подушки;Декоративные подушки;Красные линии;Зимняя сказка;null;https://kssafonova.github.io/images/imported-products/6a5f322580c1f_big.jpg;https://kssafonova.github.io/images/imported-products/691b2effe84ad_big.jpg;https://kssafonova.github.io/images/imported-products/6a5f322538408_big.jpg
780;KD-PD-10788;Подушка декоративная Пушица;бежевый;null;45х45 см;9 900 ₽;null;45 см;45 см;null;null;null;null;null;null;null;null;null;null;null;null;null;https://kssafonova.github.io/images/imported-products/6a06bfda73687_big.jpg;https://kssafonova.github.io/images/imported-products/691b30c11c860_big.jpg;https://kssafonova.github.io/images/imported-products/6a5f327e12e2a_big.jpg
781;KD-PD-10789;Подушка декоративная Пушица;розовый;null;45х45 см;9 900 ₽;null;45 см;45 см;null;null;null;null;null;null;null;null;null;null;null;null;null;https://kssafonova.github.io/images/imported-products/6a5f329c43e35_big.jpg;https://kssafonova.github.io/images/imported-products/691b2ed8ad532_big.jpg;https://kssafonova.github.io/images/imported-products/6a5f329bdfebe_big.jpg
809;KD-PD-10913;Блюдо Весенний сад;белый;null;32 см;5 592 ₽;6 990 ₽;null;null;null;null;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Блюда и подача;null;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85ae21c78e0_big.jpg;null;null
810;KD-PD-10911;Блюдо Весенний сад;белый;null;24х16 см;4 472 ₽;5 590 ₽;null;null;null;null;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Блюда и подача;null;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85ae21c78e0_big.jpg;null;null
810;KD-PD-10911;Блюдо Весенний сад;белый;null;36х25 см;6 392 ₽;7 990 ₽;null;null;null;null;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Блюда и подача;null;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85ae21c78e0_big.jpg;null;null
811;KD-PD-10925;Кофейная пара Весенний сад;белый;null;75 мл;2 072 ₽;2 590 ₽;null;null;75 мл;null;Кружка 1 шт\nБлюдце 1 шт;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/6a85afc487304_big.jpg;null;null
812;KD-PD-11141;Набор свечей Весенний сад;зеленый;null;45 см;2 990 ₽;null;45 см;null;null;null;null;парафин;100% парафин;null;Весенний сад;null;Декор для дома;Свечи и диффузоры;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/69df9867a661d_big.jpg;null;null
813;KD-PD-10928;Перечница Весенний сад;белый;null;8 см;1 032 ₽;1 290 ₽;null;null;70 мл;null;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Блюда и подача;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/6a85b2ccb09ab_big.jpg;null;null
814;KD-PD-10917;Розетка для варенья Весенний сад;белый;null;30 мл;1 112 ₽;1 390 ₽;null;null;30 мл;null;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;null;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85b2d45cbdc_big.jpg;null;null
815;KD-PD-10915;Салатник Весенний сад;белый;null;300 мл;3 672 ₽;4 590 ₽;null;null;300 мл;null;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;null;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85b2d617474_big.jpg;null;null
816;KD-PD-10924;Сахарница Весенний сад;белый;null;300 мл;3 032 ₽;3 790 ₽;null;null;300 мл;null;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Чайники, молочники и сахарницы;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/6a85b6d73dce4_big.jpg;null;null
817;KD-PD-10927;Солонка Весенний сад;белый;null;8 см;1 032 ₽;1 290 ₽;null;null;70 мл;null;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Блюда и подача;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/6a85b6dad216a_big.jpg;null;null
818;KD-PD-10926;Соусник Весенний сад;белый;null;150 мл;2 232 ₽;2 790 ₽;null;null;150 мл;null;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Блюда и подача;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/6a85b6df16492_big.jpg;null;null
819;KD-PD-10918;Тарелка десертная Весенний сад;белый;null;19 см;1 992 ₽;2 490 ₽;null;null;null;19 см;null;фарфор;100% фарфор;null;Весенний сад;null;Посуда и сервировка;Тарелки;null;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85b7dadf9ab_big.jpg;null;null
