ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула;Фото 1;Фото 2;Фото 3
10375;KD-PD-10375;Комплект постельного белья Тайна;Голубой;;Евро (200х220 см);23 450 ₽;32 900 ₽;200 см;220 см;;;;сатин;100% сатин;;Тайна;Тайна;Постельное белье;Постельное белье;Пламя морских глубин ;Зимняя сказка ;;69b3ce485dc4b_big.jpg;;
10375;KD-PD-10375;Комплект постельного белья Тайна;Голубой;;Кинг-сайз (220х240 см);26 450 ₽;43 900 ₽;220 см;240 см;;;;сатин;100% сатин;;Тайна;Тайна;Постельное белье;Постельное белье;Пламя морских глубин ;Зимняя сказка;;69b3ce485dc4b_big.jpg;;
10260;KD-PD-10260;Кружка Тайна;Белый / Голубой ;;450 мл;4 599 ₽;;;;450 мл;;;костяной фарфор;100% костяной фарфор;;Тайна;Тайна;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;;;68f65790028a8_big.jpg;;
10597;KD-PD-10597;Подушка Тайна;Белый;;40х40 см;3 599 ₽;;40 см;40 см;;;;бархат;;;Тайна;Тайна;Пледы и подушки;Декоративные подушки;Пламя морских глубин ;;;69e5d81fb0f8c_big.jpg;;
105971;KD-PD-105971;Подушка Тайна;Голубой;;40х60 см;4 599 ₽;;40 см;60 см;;;;бархат;;;Тайна;Тайна;Пледы и подушки;Декоративные подушки;Пламя морских глубин ;;;69f1d18162bd5_big.jpg;;
10981;KD-PD-10981;Свеча Тайна;Белый;Древесный табак;11 см;6 599 ₽;;11 см;;;;;;Воск кокосовый;;Тайна;Тайна;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;;;6978c59a6fa8e_big.jpg;;
10981;KD-PD-10981;Свеча Тайна;Белый;Уд;11 см;6 599 ₽;;11 см;;;;;;Воск кокосовый;;Тайна;Тайна;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;;;6978c59a6fa8e_big.jpg;;
109811;KD-PD-109811;Свеча Тайна;Коричневый;Древесный табак;11 см;6 599 ₽;;11 см;;;;;;Воск кокосовый;;Тайна;Тайна;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;;;6a5f809fd6922_big.jpg;;
109811;KD-PD-109811;Свеча Тайна;Коричневый;Уд;11 см;6 599 ₽;;11 см;;;;;;Воск кокосовый;;Тайна;Тайна;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;;;6a5f809fd6922_big.jpg;;
10259;KD-PD-10259;Тарелка десертная Тайна;Белый / Голубой ;;18 см;4 599 ₽;;;;;18 см;;фарфор;100% фарфор;;Тайна;Тайна;Посуда и сервировка;Тарелки;Пламя морских глубин ;;;6a85b7f0e879a_big.jpg;;
10258;KD-PD-10258;Чайная пара Тайна;Белый / Голубой ;;250 мл;5 599 ₽;;;;250 мл;16 см;Кружка 1 шт\nБлюдце 1 шт;костяной фарфор;100% костяной фарфор;;Тайна;Тайна;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;;;69007dfeb92de_big.jpg;;
10244;KD-PD-10244;Блюдо овальное Юрма;Коричневый;;23 см ;2 392 ₽;2 990 ₽;;;;23 см;;керамика;100% керамика;;Юрма;;Посуда и сервировка;Блюда и подача;Теплый брутализм;Зимняя сказка Пламя морских глубин ;;6a85ae136bac7_big.jpg;;
10239;KD-PD-10239;Тарелка закусочная Юрма;коричневый;;22 см;1 912 ₽;2 390 ₽;;;;22 см;;керамика;100% керамика;;Юрма;;Посуда и сервировка;Тарелки;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;;6a85ba9c0ea69_big.jpg;;
12345;KD-PD-1;Свеча Корона;Белый;Ваниль ;11 см;6 599 ₽;;;11 см;;;;Стекло;Воск;;;;Декор для дома;Свечи и диффузоры;Зимняя сказка Пламя морских глубин ;Теплый брутализм;;IMG_9416.jpeg;;
12345;KD-PD-1;Свеча Корона;Белый;Кокос ;11 см;6 599 ₽;;;11 см;;;;Стекло;Воск;;;;Декор для дома;Свечи и диффузоры;Зимняя сказка Пламя морских глубин ;Теплый брутализм;;IMG_9416.jpeg;;
12345;KD-PD-1;Свеча Корона;Белый;Без аромата;11 см;6 599 ₽;;;11 см;;;;Стекло;Воск;;;;Декор для дома;Свечи и диффузоры;Зимняя сказка Пламя морских глубин ;Теплый брутализм;;IMG_9416.jpeg;;
