ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула.1;Фото 1;Фото 2;Фото 3
730;KD-PD-11521;Диффузор;null;Сандал;130 мл;3 990 ₽;null;null;null;130 мл;null;null;null;null;null;null;null;Декор для дома;Свечи и диффузоры;Зимняя сказка Пламя морских глубин ;null;null;null;null;null
730;KD-PD-11521;Диффузор;null;Апельсин ;130 мл;3 990 ₽;null;null;null;130 мл;null;null;null;null;null;null;null;Декор для дома;Свечи и диффузоры;Зимняя сказка Пламя морских глубин ;null;null;null;null;null
730;KD-PD-11521;Диффузор;null;Мята;130 мл;3 990 ₽;null;null;null;130 мл;null;null;null;null;null;null;null;Декор для дома;Свечи и диффузоры;Зимняя сказка Пламя морских глубин ;null;null;null;null;null
738;KD-PD-11419;Блюдо овальное Овация;белый;null;36 см;2 154 ₽;3 590 ₽;null;null;null;null;null;фарфор;100% фарфор;null;Овация;null;Посуда и сервировка;Блюда и подача;Зеленый салон Пламя морских глубин ;Красные линии;null;https://kssafonova.github.io/images/imported-products/6a3a77ab1a012_big.jpg;null;null
740;KD-PD-11516;Кофейная пара Овация;белый;null;120 мл;894 ₽;1 490 ₽;null;null;120 мл;null;Кружка 1 шт\nБлюдце 1 шт;фарфор;100% фарфор;null;Овация;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Зеленый салон Пламя морских глубин ;Красные линии;null;https://kssafonova.github.io/images/imported-products/6a394af98ba5b_big.jpg;https://kssafonova.github.io/images/imported-products/699308df21c8f_big.jpg;https://kssafonova.github.io/images/imported-products/69930fcc7d471_big.png
741;KD-PD-11431;Кружка Овация;белый;null;350 мл;714 ₽;1 190 ₽;null;null;350 мл;null;null;фарфор;100% фарфор;null;Овация;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Зеленый салон Пламя морских глубин ;Красные линии;null;https://kssafonova.github.io/images/imported-products/6a394affdcfc4_big.jpg;https://kssafonova.github.io/images/imported-products/6993065ce7e66_big.jpg;null
742;KD-PD-11429;Молочник Овация;белый;null;160 мл;894 ₽;1 490 ₽;null;null;160 мл;null;null;фарфор;100% фарфор;null;Овация;null;Посуда и сервировка;Чайники, молочники и сахарницы;Зеленый салон Пламя морских глубин ;Красные линии;null;https://kssafonova.github.io/images/imported-products/6a394afd5391f_big.jpg;https://kssafonova.github.io/images/imported-products/699306866add5_big.jpg;null
744;KD-PD-11421;Салатник Овация;белый;null;21 см;1 794 ₽;2 990 ₽;null;null;null;21 см;null;фарфор;100% фарфор;null;Овация;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Зеленый салон Пламя морских глубин ;Красные линии;null;https://kssafonova.github.io/images/imported-products/6a3a861013057_big.jpg;null;null
745;KD-PD-11418;Тарелка глубокая Овация;белый;null;26 см;1 794 ₽;2 990 ₽;null;null;null;26 см;null;фарфор;100% фарфор;null;Овация;null;Посуда и сервировка;Тарелки;Зеленый салон Пламя морских глубин ;Красные линии;null;https://kssafonova.github.io/images/imported-products/69cfcf5d94387_big.jpg;https://kssafonova.github.io/images/imported-products/69958b5f30941_big.jpg;null
746;KD-PD-11436;Блюдо овальное Эхо;белый;null;25х18 см;2 233 ₽;3 190 ₽;null;null;null;null;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Блюда и подача;Красные линии;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a3a77a9a9ef4_big.jpg;null;null
