ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула.1;Фото 1;Фото 2;Фото 3
3;KD-PD-1023;Подушка с кружевом;Белый;null;60x60 см;5 990 ₽;null;60 см;60 см;null;null;null;Хлопок;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;Кружево;null;Лунная сказка;Пледы и подушки;Декоративные подушки;Зимняя сказка;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1023-WHITE01.png;https://kssafonova.github.io/images/imported-products/KD-PD-1023-WHITE02.png;null
2;KD-PD-1023;Подушка с кружевом;Молочный;null;60x60 см;5 990 ₽;null;60 см;60 см;null;null;null;Хлопок;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;Кружево;null;Лунная сказка;Пледы и подушки;Декоративные подушки;Зимняя сказка;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1023-BEIGE01.png;https://kssafonova.github.io/images/imported-products/KD-PD-1023-BEIGE02.png;null
1;KD-PD-1023;Подушка с кружевом;Синий;null;60x60 см;5 990 ₽;null;60 см;60 см;null;null;null;Хлопок;Внешняя часть: 100% Хлопок  Наполнитель: 100% Пух;Кружево;null;Лунная сказка;Пледы и подушки;Декоративные подушки;Зимняя сказка;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1023-BLUE01.png;https://kssafonova.github.io/images/imported-products/KD-PD-1023-BLUE02.png;null
5;KD-PD-1026;Плед из кружева;Белый;null;200x220 см;12 990 ₽;null;200 см;220 см;null;null;null;Хлопок;70% хлопок\n30% лен;Кружево;null;Лунная сказка;Пледы и подушки;Плед;Зимняя сказка;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1026-WHITE01.png;https://kssafonova.github.io/images/imported-products/KD-PD-1026-WHITE02.png;null
6;KD-PD-1026;Плед из кружева;Молочный;null;200x220 см;12 990 ₽;null;200 см;220 см;null;null;null;Хлопок;70% хлопок\n30% лен;Кружево;null;Лунная сказка;Пледы и подушки;Плед;Зимняя сказка;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1026-BEIGE01.png;https://kssafonova.github.io/images/imported-products/KD-PD-1026-BEIGE02.png;null
4;KD-PD-1026;Плед из кружева;Синий;null;200x220 см;12 990 ₽;null;200 см;220 см;null;null;null;Хлопок;70% хлопок\n30% лен;Кружево;null;Лунная сказка;Пледы и подушки;Плед;Зимняя сказка;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1026-BLUE01.png;https://kssafonova.github.io/images/imported-products/KD-PD-1026-BLUE02.png;null
7;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Молочный;null;Евро 200×220 см;8 690 ₽;null;200 см;220 см;null;null;null;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;null;Бархат;null;Пледы и подушки;Покрывало;Зимняя сказка Пламя морских глубин  ;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1027-MOL01.png;https://kssafonova.github.io/images/imported-products/KD-PD-1027-MOL02.png;null
7;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Молочный;null;Кинг сайз 220×240 см;8 690 ₽;null;220 см;240 см;null;null;null;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;null;Бархат;null;Пледы и подушки;Покрывало;Зимняя сказка Пламя морских глубин  ;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1027-MOL01.png;https://kssafonova.github.io/images/imported-products/KD-PD-1027-MOL02.png;null
7;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Серо-синий;null;Евро 200×220 см;8 690 ₽;null;200 см;220 см;null;null;null;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;null;Бархат;null;Пледы и подушки;Покрывало;Зимняя сказка Пламя морских глубин  ;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1027-PES01.png;null;null
7;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Серо-синий;null;Кинг сайз 220×240 см;8 690 ₽;null;220 см;240 см;null;null;null;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;null;Бархат;null;Пледы и подушки;Покрывало;Зимняя сказка Пламя морских глубин  ;null;null;https://kssafonova.github.io/images/imported-products/KD-PD-1027-PES01.png;null;null
