ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула.1;Фото 1;Фото 2;Фото 3
25;KD-PD-11438;Чайник Эхо;Белый;null;1800 мл;6 593 ₽;9 990 ₽;null;null;1800 мл;null;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Чайники, молочники и сахарницы;Красные линии;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85bf6840c27_big.jpg;null;null
26;KD-PD-11438;Чайная пара Эхо;Белый;null;250 мл ;2 233 ₽;3 190 ₽;null;null;250 мл;18 см;Кружка 1 шт\nБлюдце 1 шт;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Красные линии;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85bf55372ef_big.jpg;null;null
27;KD-PD-114381;Тарелка глубокая Эхо;Белый;null;350 мл ;3 353 ₽;4 790 ₽;null;null;350 мл ;null;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Красные линии;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85b7d65b6f3_big.jpg;null;null
28;KD-PD-114382;Тарелка закусочная Эхо;Белый;null;20 см;2 233 ₽;3 190 ₽;null;null;null;20 см;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Тарелки;Красные линии;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85bab0339ea_big.jpg;null;null
29;KD-PD-114383;Тарелка обеденная Эхо;Белый;null;25 см;2 793 ₽;3 990 ₽;null;null;null;30 см;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Тарелки;Красные линии;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a06d76222d16_big.jpg;null;null
30;KD-PD-114384;Тарелка десертная Эхо;Белый;null;18 см;1 673 ₽;2 390 ₽;null;null;null;18 см;null;костяной фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Тарелки;Красные линии;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85ba923b6ef_big.jpg;null;null
31;KD-PD-114385;Супница Эхо;Белый;null;650 мл ;7 273 ₽;10 390 ₽;null;null;650 мл ;null;null;фарфор;100% костяной фарфор;null;Эхо;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Красные линии;Зеленый салон;null;https://kssafonova.github.io/images/imported-products/6a85b6e1b4b86_big.jpg;null;null
32;KD-PD-10288;Ваза Айсберг;Белый;null;15 см;14 900 ₽;null;null;null;null;null;null;фарфор;100% фарфор;null;null;null;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;null;null;https://kssafonova.github.io/images/imported-products/6a0d5b3b35c53_big.jpg;https://kssafonova.github.io/images/imported-products/68ecbba698a58_big.jpg;null
32;KD-PD-10288;Ваза Айсберг;Белый;null;18 см;16 900 ₽;null;null;null;null;null;null;фарфор;100% фарфор;null;null;null;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;null;null;https://kssafonova.github.io/images/imported-products/6a0d5b3b35c53_big.jpg;https://kssafonova.github.io/images/imported-products/68ecbba698a58_big.jpg;null
331;KD-PD-11020;Ваза Паскаль;Желтый;null;36 см;24 900 ₽;null;null;null;null;null;null;Стекло;100% стекло;null;null;null;Декор для дома;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин ;null;null;https://kssafonova.github.io/images/imported-products/6a0d5b4123311_big.jpg;null;null
