solution_id;solution_name;product_id;article;product_name;relation_type
sol_211b78e5a8;Зимняя сказка;KD-PD-2010;KD-PD-2010;Салатник «Ледяные узоры»;required
sol_211b78e5a8;Зимняя сказка;KD-PD-2001;KD-PD-2001;Тарелка «Ледяные узоры»;required
sol_211b78e5a8;Зимняя сказка;KD-PD-2004;KD-PD-2004;Чайная пара «Ледяные узоры»;required
sol_211b78e5a8;Зимняя сказка;KD-PD-10376;KD-PD-10376;Комплект постельного белья Нити;required
sol_211b78e5a8;Зимняя сказка;KD-PD-10599;KD-PD-10599;Подушка декоративная Нити;required
sol_211b78e5a8;Зимняя сказка;KD-PD-8695;KD-PD-8695;Подсвечник Росы;optional
sol_211b78e5a8;Зимняя сказка;KD-PD-10375;KD-PD-10375;Комплект постельного белья Тайна;optional
sol_211b78e5a8;Зимняя сказка;KD-PD-10244;KD-PD-10244;Блюдо овальное Юрма;optional
sol_211b78e5a8;Зимняя сказка;KD-PD-10239;KD-PD-10239;Тарелка закусочная Юрма;optional
sol_211b78e5a8;Зимняя сказка;KD-PD-1;KD-PD-1;Свеча Корона;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-1027;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-1025;KD-PD-1025;"Тарелка ""Лунная сказка""";required
sol_f6f75e490c;Пламя морских глубин;KD-PD-2519;KD-PD-2519;Свеча Феникс;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11417;KD-PD-11417;Тарелка обеденная Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11415;KD-PD-11415;Тарелка десертная Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11416;KD-PD-11416;Тарелка закусочная Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11514;KD-PD-11514;Чайная пара Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11428;KD-PD-11428;Чайник Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11430;KD-PD-11430;Сахарница Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11420;KD-PD-11420;Салатник Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10288;KD-PD-10288;Ваза Айсберг;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11020;KD-PD-11020;Ваза Паскаль;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10841;KD-PD-10841;Плед Пушица;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10786;KD-PD-10786;Подушка декоративная Пушица;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11521;KD-PD-11521;Диффузор;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11419;KD-PD-11419;Блюдо овальное Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11431;KD-PD-11431;Кружка Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11429;KD-PD-11429;Молочник Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11421;KD-PD-11421;Салатник Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11418;KD-PD-11418;Тарелка глубокая Овация;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10944;KD-PD-10944;Блюдо Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-11006;KD-PD-11006;Дорожка Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10945;KD-PD-10945;Пиала Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10590;KD-PD-10590;Плейсмат Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10591;KD-PD-10591;Салфетка Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10950;KD-PD-10950;Сахарница Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10459;KD-PD-10459;Скатерть Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10946;KD-PD-10946;Тарелка десертная Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10947;KD-PD-10947;Тарелка закусочная Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10948;KD-PD-10948;Тарелка обеденная Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10951;KD-PD-10951;Чайная пара Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10949;KD-PD-10949;Чайник Дияф;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10287;KD-PD-10287;Менажница Дрёмица;optional
sol_f6f75e490c;Пламя морских глубин;KD-PD-10127;KD-PD-10127;Поднос Дрёмица;optional
sol_f6f75e490c;Пламя морских глубин;KD-PD-10283;KD-PD-10283;Подставка для салфеток Дрёмица;optional
sol_f6f75e490c;Пламя морских глубин;KD-PD-10284;KD-PD-10284;Подставка-менажница Дрёмица;optional
sol_f6f75e490c;Пламя морских глубин;KD-PD-10256;KD-PD-10256;Кружка Феникс;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10254;KD-PD-10254;Чайная пара Феникс;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10376;KD-PD-10376;Комплект постельного белья Нити;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10599;KD-PD-10599;Подушка декоративная Нити;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-8695;KD-PD-8695;Подсвечник Росы;optional
sol_f6f75e490c;Пламя морских глубин;KD-PD-10375;KD-PD-10375;Комплект постельного белья Тайна;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10260;KD-PD-10260;Кружка Тайна;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10597;KD-PD-10597;Подушка Тайна;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10981;KD-PD-10981;Свеча Тайна;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10259;KD-PD-10259;Тарелка десертная Тайна;required
