product_id;color_id;color_name
KD-PD-10459;clr_b598b3ae9a;Белый / Золотой
KD-PD-10946;clr_f62d05dd1d;Белый / Голубой
KD-PD-10947;clr_f62d05dd1d;Белый / Голубой
KD-PD-10948;clr_f62d05dd1d;Белый / Голубой
KD-PD-10951;clr_f62d05dd1d;Белый / Голубой
KD-PD-10949;clr_f62d05dd1d;Белый / Голубой
KD-PD-10287;clr_df6d4fc5b2;коричневый
KD-PD-10127;clr_df6d4fc5b2;коричневый
KD-PD-10283;clr_df6d4fc5b2;коричневый
KD-PD-10284;clr_df6d4fc5b2;коричневый
KD-PD-10256;clr_b598b3ae9a;Белый / Золотой
KD-PD-10254;clr_b598b3ae9a;Белый / Золотой
KD-PD-2000;clr_eaa16fa223;Ледяной Голубой
KD-PD-2000;clr_2818a16c64;Белый
KD-PD-2000;clr_7e1922e6be;Ночной синий
KD-PD-2003;clr_eaa16fa223;Ледяной Голубой
KD-PD-2010;clr_2818a16c64;Белый
KD-PD-2010;clr_7e1922e6be;Ночной синий
KD-PD-2001;clr_7e1922e6be;Ночной синий
KD-PD-2001;clr_2818a16c64;Белый
KD-PD-2004;clr_2818a16c64;Белый
KD-PD-10376;clr_a39ee8788e;Голубой
KD-PD-10599;clr_a39ee8788e;Голубой
KD-PD-8695;clr_6e3a178629;Прозрачный
KD-PD-10375;clr_a39ee8788e;Голубой
KD-PD-10260;clr_f62d05dd1d;Белый / Голубой
KD-PD-10597;clr_2818a16c64;Белый
KD-PD-10597;clr_a39ee8788e;Голубой
KD-PD-10981;clr_2818a16c64;Белый
KD-PD-10981;clr_df6d4fc5b2;Коричневый
KD-PD-10259;clr_f62d05dd1d;Белый / Голубой
KD-PD-10258;clr_f62d05dd1d;Белый / Голубой
KD-PD-10244;clr_df6d4fc5b2;Коричневый
KD-PD-10239;clr_df6d4fc5b2;Коричневый
KD-PD-1;clr_2818a16c64;Белый
KD-PD-1022;clr_2818a16c64;Белый
KD-PD-1022;clr_9aae9f80f3;Небесный
KD-PD-1022;clr_7e1922e6be;Ночной синий
KD-PD-1022;clr_417dc1f5c1;Пудровый
