product_id;material_id;material_name
KD-PD-8695;mat_6388fc762d;хрусталь
KD-PD-10375;mat_8134a26777;сатин
KD-PD-10260;mat_78141744da;костяной фарфор
KD-PD-10597;mat_d572e9eb8f;бархат
KD-PD-10259;mat_2ca5cf94f3;фарфор
KD-PD-10258;mat_78141744da;костяной фарфор
KD-PD-10244;mat_83c3ac303b;керамика
KD-PD-10239;mat_83c3ac303b;керамика
KD-PD-1;mat_e08aad5924;Стекло
KD-PD-1022;mat_1afde5d89a;Шелк
