Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Фото 1;Фото 2;Фото 3;Описание готового решения
KD-PD-00474;Тарелка десертная Алая Нить;Белый;null;19 см;5 599,00 ₽;null;null;null;null;19 см;null;Фарфор;100% Костяной фарфор;null;Алая нить;null;Посуда и сервировка;Тарелки;Красные линии;null;/assets/images/KD-PD-00474.png;null;null;null
KD-PD-00574;Тарелка обеденная Алая Нить;Белый;null;23 см;6 599,00 ₽;null;null;null;null;23 см;null;Фарфор;100% Костяной фарфор;null;Алая нить;null;Посуда и сервировка;Тарелки;Красные линии;null;/assets/images/KD-PD-00574.png;null;null;null
KD-PD-00575;Салатник Алая Нить;Белый;null;350 мл;7 599,00 ₽;null;null;null;350 мл;null;null;Фарфор;100% Костяной фарфор;null;Алая нить;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Красные линии;null;/assets/images/KD-PD-00575.png;null;null;null
KD-PD-00576;Супница Алая Нить;Белый;null;450 мл;7 599,00 ₽;null;null;null;450 мл;null;null;Фарфор;100% Костяной фарфор;null;Алая нить;null;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Красные линии;null;/assets/images/KD-PD-00576.png;null;null;null
KD-PD-11574;Чайная пара Алая Нить;Белый;null;250 мл;6 599,00 ₽;null;null;null;250 мл;null;null;Фарфор;100% Костяной фарфор;null;Алая нить;null;Посуда и сервировка;Кружки, чайные и кофейные пары;Красные линии;null;/assets/images/KD-PD-11574.png;null;null;null
KD-PD-11616;Плейсмат Алая Нить;Белый;null;45 x 45 см;3 599,00 ₽;null;45 см;45 см;null;null;null;Хлопок;100% Хлопок;null;Алая нить;null;Посуда и сервировка;Столовый текстиль;Красные линии;null;/assets/images/KD-PD-11616.png;null;null;null
